token_,count
an cinq cens,9
trois cens ans,6
cens mil escus,4
cens vingt deux,4
an mil quatre,4
mil quatre cens,4
deniers douze grains,4
depuis foixante ans,3
cens quatre vins,3
dix ans apres,3
quatre cens vingt,3
plus efcu fol,3
fois plus cher,2
fix vintz livres,2
cinq cens trente,2
tant foit peu,2
deux cens ans,2
den mout gras,2
gras auec laine,2
cochon dix den,2
fix den hyuer,2
mil cinq cens,2
dix fois plus,2
quatre cens ans,2
comme dit pline,2
foixante mil francz,2
depuis temps là,2
cin quiefme partie,2
plus efpagne italie,2
cinq cens mil,2
fix mil escus,2
francs pied cheual,2
valoit cinq noftres,2
fol ancié fin,2
ancié fin argent,2
del an cinq,2
an mil trois,2
mil trois cens,2
quele marc argent,2
depuis trois cens,2
vingt deux mois,2
beaucoup plus dela,2
plus dela moitié,2
plus haut pris,2
temps louys douziefme,2
dit cy deffus,2
vingt fois autant,2
comme ay dit,2
foleil dix couronne,2
partie charges ordinaires,2
faux monoyeur fait,2
douze grains aloy,2
argent onze deniers,2
onze deniers douze,2
ay dit fera,2
quarante livres erain,2
comme ray dit,2
partie del once,2
ve p u,1
p u pa,1
u pa cea,1
pa cea serres,1
cea serres ss,1
serres ss eam,1
ss eam response,1
eam response email,1
response email stre,1
email stre iean,1
stre iean bodin,1
iean bodin advocat,1
bodin advocat covr,1
advocat covr av,1
covr av paradoxe,1
av paradoxe monsievr,1
paradoxe monsievr maleitroit,1
monsievr maleitroit touchant,1
maleitroit touchant encheriffement,1
touchant encheriffement tou,1
encheriffement tou choses,1
tou choses moyen,1
choses moyen remedier,1
moyen remedier certa,1
remedier certa ant,1
certa ant pafler,1
ant pafler outre,1
pafler outre ns,1
outre ns ie,1
ns ie mettray,1
ie mettray brieuement,1
mettray brieuement raifons,1
brieuement raifons monfieur,1
raifons monfieur maleftroit,1
monfieur maleftroit peult,1
maleftroit peult dit,1
peult dit plaindre,1
dit plaindre quevne,1
plaindre quevne ÿ,1
quevne ÿ chofe,1
ÿ chofe foit,1
chofe foit maintenät,1
foit maintenät plus,1
maintenät plus chere,1
plus chere trois,1
chere trois cens,1
cens ans non,1
ans non achepter,1
non achepter faille,1
achepter faille maintenàt,1
faille maintenàt bailler,1
maintenàt bailler plus,1
bailler plus argent,1
plus argent lon,1
argent lon nebail,1
lon nebail loitlors,1
nebail loitlors oreftil,1
loitlors oreftil achapt,1
oreftil achapt detou,1
achapt detou choses,1
detou choses lo,1
choses lo nebaille,1
lo nebaille point,1
nebaille point maintenat,1
point maintenat plus,1
maintenat plus orny,1
plus orny argent,1
orny argent ó,1
argent ó bailloit,1
ó bailloit alors,1
bailloit alors don,1
alors don ques,1
don ques puis,1
ques puis ledit,1
puis ledit temps,1
ledit temps rien,1
temps rien encheri,1
rien encheri france,1
encheri france voyla,1
france voyla conclufon,1
voyla conclufon necef,1
conclufon necef faire,1
necef faire donne,1
faire donne mineure,1
donne mineure preuue,1
mineure preuue icelle,1
preuue icelle aulne,1
icelle aulne velours,1
aulne velours ditil,1
velours ditil temps,1
ditil temps roy,1
temps roy philippe,1
roy philippe valois,1
philippe valois cou,1
valois cou ftoit,1
cou ftoit quatre,1
ftoit quatre escus,1
quatre escus aussi,1
escus aussi bos,1
aussi bos voire,1
bos voire us,1
voire us eurs,1
