token_,count
mille livres tournoys,5
roy aultres falloit,2
seize cent mille,2
cent mille livres,2
dix huit millions,2
cent soixante mille,2
soixante mille livres,2
livres tournoys reistres,2
trente mille livres,2
moyen recouvrer argent,2
harangue prononcée hospital,1
prononcée hospital chancelier,1
hospital chancelier france,1
chancelier france séance,1
france séance lit,1
séance lit justice,1
lit justice teneu,1
justice teneu roy,1
teneu roy charles,1
roy charles ix,1
charles ix parlement,1
ix parlement paris,1
parlement paris mai,1
paris mai mixxssizvns,1
mai mixxssizvns deux,1
mixxssizvns deux principaulx,1
deux principaulx poincts,1
principaulx poincts contiennent,1
poincts contiennent royaulme,1
contiennent royaulme armes,1
royaulme armes justice,1
armes justice regarde,1
justice regarde dehors,1
regarde dehors conservation,1
dehors conservation estat,1
conservation estat contre,1
estat contre voisinz,1
contre voisinz ennemis,1
voisinz ennemis aultre,1
ennemis aultre dedans,1
aultre dedans concerne,1
dedans concerne subject,1
concerne subject prochain,1
subject prochain paix,1
prochain paix justice,1
paix justice peult,1
justice peult sans,1
peult sans aultre,1
sans aultre plus,1
aultre plus dangereuse,1
plus dangereuse plus,1
dangereuse plus cruelle,1
plus cruelle chose,1
cruelle chose monde,1
chose monde armes,1
monde armes sans,1
armes sans justice,1
sans justice injustice,1
justice injustice armée,1
injustice armée expérience,1
armée expérience choses,1
expérience choses veues,1
choses veues depuis,1
veues depuis an,1
depuis an cà,1
an cà aussy,1
cà aussy justice,1
aussy justice sans,1
justice sans armes,1
sans armes peult,1
armes peult tout,1
peult tout faire,1
tout faire appartient,1
faire appartient si,1
appartient si chascung,1
si chascung juste,1
chascung juste feroit,1
juste feroit justice,1
feroit justice aultre,1
justice aultre cela,1
aultre cela poinct,1
cela poinct dieu,1
poinct dieu ordonné,1
dieu ordonné puissance,1
ordonné puissance roys,1
puissance roys lesquelz,1
roys lesquelz dent,1
lesquelz dent armes,1
dent armes contre,1
armes contre leurs,1
contre leurs subjectz,1
leurs subjectz désobéys,1
subjectz désobéys sans,1
désobéys sans comme,1
sans comme contre,1
comme contre estrangers,1
contre estrangers malveil,1
estrangers malveil lans,1
malveil lans harangues,1
lans harangues prédécesseurs,1
harangues prédécesseurs nostre,1
prédécesseurs nostre roy,1
nostre roy exercé,1
roy exercé mesmes,1
exercé mesmes droicts,1
mesmes droicts tant,1
droicts tant armes,1
tant armes justice,1
armes justice quant,1
justice quant armes,1
quant armes grandeur,1
armes grandeur estendeue,1
grandeur estendeue non,1
estendeue non seulement,1
non seulement europe,1
seulement europe asie,1
europe asie afrique,1
asie afrique justice,1
afrique justice émporté,1
justice émporté premier,1
émporté premier bien,1
premier bien nom,1
bien nom seigneurie,1
nom seigneurie royaulme,1
seigneurie royaulme terre,1
royaulme terre mieulx,1
terre mieulx policé,1
mieulx policé armes,1
policé armes justice,1
armes justice celuy,1
justice celuy france,1
celuy france auquel,1
france auquel tousjours,1
auquel tousjours bonnes,1
tousjours bonnes loyx,1
bonnes loyx magistrats,1
loyx magistrats fort,1
magistrats fort bien,1
fort bien distribuez,1
bien distribuez deux,1
distribuez deux ordres,1
deux ordres possible,1
ordres possible veoir,1
possible veoir penser,1
veoir penser mieulx,1
penser mieulx désirerois,1
mieulx désirerois ordonnances,1
désirerois ordonnances desdicts,1
ordonnances desdicts pré,1
desdicts pré décesseurz,1
pré décesseurz bonnes,1
décesseurz bonnes sainctes,1
bonnes sainctes petit,1
sainctes petit nombre,1
petit nombre celles,1
nombre celles roy,1
celles roy nostre,1
roy nostre souverain,1
nostre souverain seigneur,1
souverain seigneur feussent,1
seigneur feussent bien,1
feussent bien gardées,1
bien gardées présentement,1
gardées présentement admonestez,1
présentement admonestez faisant,1
admonestez faisant justice,1
faisant justice rendiez,1
justice rendiez honneur,1
rendiez honneur dieu,1
honneur dieu service,1
dieu service profict,1
service profict subjects,1
profict subjects justice,1
subjects justice deux,1
justice deux genres,1
deux genres celle,1
genres celle regarde,1
celle regarde dieu,1
regarde dieu honneur,1
dieu honneur nom,1
honneur nom religion,1
nom religion celle,1
religion celle regarde,1
celle regarde hommes,1
regarde hommes retient,1
hommes retient nom,1
retient nom justice,1
nom justice lesdicts,1
justice lesdicts roys,1
lesdicts roys plus,1
roys plus nuls,1
plus nuls aultres,1
nuls aultres af,1
aultres af fectionnez,1
af fectionnez religion,1
fectionnez religion eslargy,1
religion eslargy église,1
eslargy église donné,1
église donné leurs,1
donné leurs biens,1
leurs biens non,1
biens non seulement,1
non seulement leurs,1
seulement leurs termes,1
leurs termes possessions,1
termes possessions leurs,1
possessions leurs propres,1
leurs propres mai,1
propres mai sons,1
mai sons palais,1
sons palais deslogez,1
palais deslogez loger,1
deslogez loger plusieurs,1
loger plusieurs lieux,1
plusieurs lieux mesme,1
lieux mesme ceste,1
mesme ceste ville,1
ceste ville capi,1
ville capi tale,1
capi tale baillé,1
tale baillé esglise,1
baillé esglise palais,1
esglise palais temple,1
palais temple harangues,1
temple harangues nostre,1
harangues nostre dame,1
nostre dame champs,1
dame champs saint,1
champs saint ouen,1
saint ouen prés,1
ouen prés paris,1
prés paris aultres,1
paris aultres lieux,1
aultres lieux leurs,1
lieux leurs domaines,1
leurs domaines justice,1
domaines justice laissé,1
justice laissé palais,1
laissé palais pré,1
palais pré sent,1
pré sent domicile,1
sent domicile justice,1
domicile justice souveraine,1
justice souveraine cherché,1
souveraine cherché honneur,1
cherché honneur dieu,1
honneur dieu plus,1
dieu plus honneur,1
plus honneur hommes,1
honneur hommes faict,1
hommes faict comme,1
faict comme roys,1
comme roys anciens,1
roys anciens asie,1
anciens asie désiré,1
asie désiré estre,1
désiré estre appelez,1
estre appelez nom,1
appelez nom mez,1
nom mez noms,1
mez noms expugnateurs,1
noms expugnateurs villes,1
expugnateurs villes aigles,1
villes aigles foudres,1
aigles foudres semblables,1
foudres semblables noms,1
semblables noms démonstrent,1
noms démonstrent leurs,1
démonstrent leurs moeurs,1
leurs moeurs dépravées,1
moeurs dépravées tyranniques,1
dépravées tyranniques roys,1
tyranniques roys mieux,1
roys mieux aimé,1
mieux aimé prendre,1
aimé prendre nom,1
prendre nom généralité,1
nom généralité figure,1
généralité figure condition,1
figure condition corps,1
condition corps comme,1
corps comme charles,1
comme charles chauve,1
charles chauve bel,1
chauve bel leurs,1
bel leurs moeurs,1
leurs moeurs adonnées,1
moeurs adonnées repoz,1
adonnées repoz comme,1
repoz comme débonnaire,1
comme débonnaire simple,1
débonnaire simple pére,1
simple pére peuple,1
pére peuple monstrer,1
peuple monstrer estoient,1
monstrer estoient comme,1
estoient comme roys,1
comme roys très,1
roys très chrestiens,1
très chrestiens plus,1
chrestiens plus enclins,1
plus enclins repoz,1
enclins repoz armes,1
repoz armes faicts,1
armes faicts figurer,1
faicts figurer leurs,1
figurer leurs scels,1
leurs scels armoiries,1
scels armoiries comme,1
armoiries comme aultres,1
comme aultres roys,1
aultres roys grands,1
roys grands princes,1
grands princes seigneurs,1
princes seigneurs tout,1
seigneurs tout armez,1
tout armez glaive,1
armez glaive main,1
glaive main figure,1
main figure image,1
figure image roys,1
image roys paisibles,1
roys paisibles aimant,1
paisibles aimant justice,1
aimant justice long,1
justice long manteau,1
long manteau royal,1
manteau royal vestement,1
royal vestement paix,1
vestement paix tenant,1
paix tenant main,1
tenant main sceptre,1
main sceptre signifie,1
sceptre signifie puissance,1
signifie puissance aultre,1
puissance aultre main,1
aultre main justice,1
main justice déclarant,1
justice déclarant là,1
déclarant là propre,1
là propre estat,1
propre estat office,1
estat office roy,1
office roy faire,1
roy faire justice,1
faire justice subjects,1
justice subjects venir,1
subjects venir jamais,1
venir jamais armes,1
jamais armes sans,1
armes sans grand,1
sans grand besoing,1
grand besoing haarngues,1
besoing haarngues deux,1
haarngues deux vertus,1
deux vertus force,1
vertus force vaillance,1
force vaillance militaire,1
vaillance militaire justice,1
militaire justice grandes,1
justice grandes excellentes,1
grandes excellentes roys,1
excellentes roys cogneues,1
roys cogneues figure,1
cogneues figure tim,1
figure tim bres,1
tim bres représentés,1
bres représentés eulx,1
représentés eulx commencement,1
eulx commencement règne,1
commencement règne entrée,1
règne entrée ceste,1
entrée ceste ville,1
ceste ville premiére,1
ville premiére capitale,1
premiére capitale royaulme,1
capitale royaulme vont,1
royaulme vont esglise,1
vont esglise cathédrale,1
esglise cathédrale adorer,1
cathédrale adorer dieu,1
adorer dieu tout,1
dieu tout puissant,1
tout puissant faire,1
puissant faire hommaige,1
faire hommaige royaulme,1
hommaige royaulme lendemain,1
royaulme lendemain aultre,1
lendemain aultre jour,1
aultre jour tost,1
jour tost aprés,1
tost aprés viennent,1
aprés viennent céans,1
viennent céans principal,1
céans principal lieu,1
principal lieu justice,1
lieu justice souveraine,1
justice souveraine nostré,1
souveraine nostré dict,1
nostré dict roy,1
dict roy souverain,1
roy souverain seigneur,1
souverain seigneur moyens,1
seigneur moyens garder,1
moyens garder cérémonies,1
garder cérémonies prédécesseurs,1
cérémonies prédécesseurs représenter,1
prédécesseurs représenter faict,1
représenter faict entrée,1
faict entrée plustost,1
entrée plustost armes,1
plustost armes vives,1
armes vives sainctes,1
vives sainctes plustost,1
sainctes plustost camps,1
plustost camps ez,1
camps ez villes,1
ez villes troubles,1
villes troubles séditions,1
troubles séditions adveneues,1
séditions adveneues temps,1
adveneues temps aussy,1
temps aussy ceste,1
aussy ceste seconde,1
ceste seconde entrée,1
seconde entrée maison,1
entrée maison justice,1
maison justice faicte,1
justice faicte telles,1
faicte telles cérémonies,1
telles cérémonies celles,1
cérémonies celles prédécesseurs,1
celles prédécesseurs nécessité,1
prédécesseurs nécessité affaires,1
nécessité affaires pressé,1
affaires pressé ve,1
pressé ve nir,1
ve nir advancer,1
nir advancer entrée,1
advancer entrée nécessité,1
entrée nécessité comme,1
nécessité comme dict,1
comme dict poéte,1
dict poéte ancien,1
poéte ancien plus,1
ancien plus forte,1
plus forte tous,1
forte tous dieux,1
tous dieux ensemble,1
dieux ensemble veneue,1
ensemble veneue faire,1
veneue faire entendre,1
faire entendre causes,1
entendre causes meu,1
causes meu faire,1
meu faire esdict,1
faire esdict envoyé,1
esdict envoyé naguéres,1
envoyé naguéres touchant,1
naguéres touchant aliénation,1
touchant aliénation bien,1
aliénation bien esglise,1
bien esglise jusques,1
esglise jusques harangues,1
jusques harangues somme,1
harangues somme cent,1
somme cent mille,1
cent mille escuz,1
mille escuz rentes,1
escuz rentes lever,1
rentes lever oster,1
lever oster erreur,1
oster erreur opinion,1
erreur opinion faulse,1
opinion faulse quelques,1
faulse quelques ungs,1
quelques ungs pourroient,1
ungs pourroient penser,1
pourroient penser feust,1
penser feust chose,1
feust chose pré,1
chose pré parée,1
pré parée malicieusement,1
parée malicieusement contre,1
malicieusement contre bien,1
contre bien esglise,1
bien esglise ycelle,1
esglise ycelle ruyner,1
ycelle ruyner destruire,1
ruyner destruire croyt,1
destruire croyt tous,1
croyt tous ceulx,1
tous ceulx ceste,1
ceulx ceste compaignie,1
ceste compaignie si,1
compaignie si bons,1
si bons serviteurs,1
bons serviteurs roy,1
serviteurs roy quand,1
roy quand entendeu,1
quand entendeu causes,1
entendeu causes nécessaires,1
causes nécessaires esdict,1
nécessaires esdict satisfaits,1
esdict satisfaits accommoderont,1
satisfaits accommoderont ceulx,1
accommoderont ceulx vouldront,1
ceulx vouldront entendre,1
vouldront entendre rebuteront,1
entendre rebuteront toutes,1
rebuteront toutes raisons,1
toutes raisons contraincts,1
raisons contraincts confesser,1
contraincts confesser menteurs,1
confesser menteurs aultre,1
menteurs aultre chose,1
aultre chose cœur,1
chose cœur aultre,1
cœur aultre bouche,1
aultre bouche chascung,1
bouche chascung eulx,1
chascung eulx dict,1
eulx dict désire,1
dict désire repoz,1
désire repoz roy,1
repoz roy tranquillité,1
roy tranquillité bien,1
tranquillité bien conservation,1
bien conservation royaulme,1
conservation royaulme ainsy,1
royaulme ainsy fault,1
ainsy fault donc,1
fault donc admettre,1
donc admettre moyens,1
admettre moyens parvenir,1
moyens parvenir royaulme,1
parvenir royaulme peult,1
royaulme peult conserver,1
peult conserver roy,1
conserver roy estre,1
roy estre servy,1
estre servy sans,1
servy sans esdict,1
sans esdict tels,1
esdict tels affaires,1
tels affaires personne,1
affaires personne aprez,1
personne aprez avoir,1
aprez avoir vouleu,1
avoir vouleu tendre,1
vouleu tendre range,1
tendre range mesme,1
range mesme raison,1
mesme raison difficulté,1
raison difficulté meut,1
difficulté meut contredire,1
meut contredire esdict,1
contredire esdict esmeut,1
esdict esmeut leurs,1
esmeut leurs majestés,1
leurs majestés seigneurs,1
majestés seigneurs conseil,1
seigneurs conseil rebuter,1
conseil rebuter lorsque,1
rebuter lorsque premiérement,1
lorsque premiérement feust,1
premiérement feust mis,1
feust mis avant,1
mis avant dressé,1
avant dressé adviz,1
dressé adviz faire,1
adviz faire feust,1
faire feust priz,1
feust priz deux,1
priz deux trois,1
deux trois mois,1
trois mois roy,1
mois roy estant,1
roy estant blois,1
estant blois non,1
blois non payer,1
non payer harangues,1
payer harangues vieilles,1
harangues vieilles debtes,1
vieilles debtes aultres,1
debtes aultres affaires,1
aultres affaires estoient,1
affaires estoient bien,1
estoient bien grands,1
bien grands non,1
grands non toutesfois,1
non toutesfois si,1
toutesfois si pressés,1
si pressés ceste,1
pressés ceste heure,1
ceste heure paix,1
heure paix encore,1
paix encore faicte,1
encore faicte camp,1
faicte camp armée,1
camp armée estoient,1
armée estoient devant,1
estoient devant orléans,1
devant orléans falloit,1
orléans falloit regarder,1
falloit regarder quels,1
regarder quels moyens,1
quels moyens entretenir,1
moyens entretenir payer,1
entretenir payer frais,1
payer frais guerre,1
frais guerre ungs,1
guerre ungs disoient,1
ungs disoient falloit,1
disoient falloit mectre,1
falloit mectre nouvelles,1
mectre nouvelles impositions,1
nouvelles impositions emprunter,1
impositions emprunter subjects,1
emprunter subjects roy,1
subjects roy aultres,1
aultres falloit prendre,1
falloit prendre ayde,1
prendre ayde villes,1
ayde villes franches,1
villes franches entières,1
franches entières ungs,1
entières ungs falloit,1
ungs falloit faire,1
falloit faire quelque,1
faire quelque mesnage,1
quelque mesnage arrester,1
mesnage arrester gaiges,1
arrester gaiges officiers,1
gaiges officiers roy,1
officiers roy aultres,1
aultres falloit arrester,1
falloit arrester prendre,1
arrester prendre rentes,1
prendre rentes maison,1
rentes maison ceste,1
maison ceste ville,1
ceste ville nouvelle,1
ville nouvelle imposition,1
nouvelle imposition sembla,1
imposition sembla impos,1
sembla impos sible,1
impos sible noblesse,1
sible noblesse laquelle,1
noblesse laquelle mect,1
laquelle mect chaque,1
mect chaque jour,1
chaque jour vies,1
jour vies biens,1
vies biens service,1
biens service roy,1
service roy portera,1
roy portera peuple,1
portera peuple estat,1
peuple estat pillé,1
estat pillé saccagé,1
pillé saccagé peine,1
saccagé peine peult,1
peine peult vivre,1
peult vivre esglise,1
vivre esglise chargée,1
esglise chargée seize,1
chargée seize cent,1
mille livres an,1
livres an quelque,1
an quelque temps,1
quelque temps tant,1
temps tant fault,1
tant fault puisse,1
fault puisse surcharger,1
puisse surcharger peu,1
surcharger peu ceste,1
peu ceste dernière,1
ceste dernière année,1
dernière année payer,1
année payer entièrement,1
payer entièrement octroy,1
entièrement octroy prochaine,1
octroy prochaine pourra,1
prochaine pourra payer,1
pourra payer quart,1
payer quart taille,1
quart taille roy,1
taille roy peult,1
roy peult tirer,1
peult tirer tribut,1
tirer tribut province,1
tribut province tière,1
province tière normandie,1
tière normandie porte,1
normandie porte tierz,1
porte tierz quart,1
tierz quart taille,1
quart taille destruicte,1
taille destruicte fault,1
destruicte fault rabattre,1
fault rabattre lieu,1
rabattre lieu eslever,1
lieu eslever ainsy,1
eslever ainsy doncques,1
ainsy doncques harangues,1
doncques harangues peult,1
harangues peult toucher,1
peult toucher aulcung,1
toucher aulcung desdicts,1
aulcung desdicts trois,1
desdicts trois tatz,1
trois tatz roy,1
tatz roy vouleu,1
roy vouleu commencer,1
vouleu commencer soy,1
commencer soy regarder,1
soy regarder moyens,1
regarder moyens ayder,1
moyens ayder sien,1
ayder sien trouvé,1
sien trouvé tout,1
trouvé tout domaine,1
tout domaine aydes,1
domaine aydes gre,1
aydes gre niers,1
gre niers sel,1
niers sel aliénez,1
sel aliénez grande,1
aliénez grande partie,1
grande partie taille,1
partie taille engagée,1
taille engagée hypothéquée,1
engagée hypothéquée payement,1
hypothéquée payement reistres,1
payement reistres aultre,1
reistres aultre telle,1
aultre telle diminution,1
telle diminution quatfe,1
diminution quatfe millions,1
quatfe millions sauroit,1
millions sauroit lever,1
sauroit lever encore,1
lever encore grand,1
encore grand clameur,1
grand clameur peuple,1
clameur peuple voilà,1
peuple voilà peu,1
voilà peu moyens,1
peu moyens fust,1
moyens fust dés,1
fust dés lors,1
dés lors trouvé,1
lors trouvé guerre,1
trouvé guerre pourroit,1
guerre pourroit estre,1
pourroit estre con,1
estre con tinuée,1
con tinuée sans,1
tinuée sans dix,1
sans dix huit,1
huit millions ainsy,1
millions ainsy disoient,1
ainsy disoient ceulx,1
disoient ceulx avoyent,1
ceulx avoyent charge,1
avoyent charge fust,1
charge fust advisé,1
fust advisé nécessaire,1
advisé nécessaire puisque,1
nécessaire puisque roy,1
puisque roy plus,1
roy plus rien,1
plus rien adresser,1
rien adresser bourses,1
adresser bourses privez,1
bourses privez vendre,1
privez vendre partie,1
vendre partie bien,1
partie bien église,1
bien église pourquoy,1
église pourquoy mécontenter,1
pourquoy mécontenter fouler,1
mécontenter fouler plusieurs,1
fouler plusieurs arresta,1
plusieurs arresta plus,1
arresta plus prompt,1
plus prompt moins,1
prompt moins dommaigeable,1
moins dommaigeable mesme,1
dommaigeable mesme esdict,1
mesme esdict fust,1
esdict fust voyé,1
fust voyé court,1
voyé court parlement,1
court parlement fist,1
