token_,count
comment peut faire,18
plus grand partie,16
tout enfemble fois,12
auec plus grand,11
plus grand plus,11
plus vray femblable,11
fois plus grand,10
tout ensemble fois,9
là peut entendre,9
tous autres animaux,9
differentes vnes autres,8
long temps fans,8
deux fois plus,8
autre chose finon,7
plus longue durée,7
long temps apres,7
fois plus grande,7
mille cinq cents,7
rien foit plus,6
tout autre chose,6
plus grand nombre,6
tres bon tres,6
quel inconuenient auroit,6
pourquoy non pource,6
fur tous autres,6
vaut autant dire,6
ainsi certes efcript,6
tue où vient,6
vingt quatre heures,6
foit plus propre,5
quelque chose plus,5
plus haut ciel,5
pre miere cause,5
quelque autre chose,5
inconuenient auroit difions,5
autre toutes fois,5
plus grand force,5
quelque fois plus,5
toutes fois faut,5
fait fes petits,5
plus forte raison,5
toutes fois foit,5
dix fois plus,5
plus hautes montaignes,5
plus grand abondance,5
cinq cens ans,5
cinq cens soixante,5
diametres terre demy,5
soleil plus grand,5
dés premier origine,4
grand plus petit,4
toutes fois grand,4
bon tres grand,4
fur aucune raifon,4
mesme corps naturel,4
rien plus moins,4
fans toutes fois,4
grand peine peut,4
peut faire aucune,4
beau coup plus,4
foit autre chose,4
plus grand difficulté,4
voire mesme elles,4
chaud froid fec,4
quelque chose foit,4
trois cents soixante,4
mille deux cents,4
voilà pourquoy hebreux,4
plus long temps,4
fondé fur aucune,4
toutes differentes vnes,4
doit non plus,4
entre tous autres,4
plus grands plus,4
tant plus aussi,4
th où vient,4
où vient doncques,4
ceste cause appellé,4
froid fec humide,4
peut faire fans,4
agent foit bon,4
neuf mille ans,4
hui tiefme fphere,4
quatre diametres terre,4
nombre plus grand,4
mille quatre cents,4
vingt deux mille,4
ouurier toutes choses,3
peut allez entendre,3
bien autre chose,3
monftré cy deuant,3
faire fans prealable,3
autre chose comme,3
tant plus grande,3
cause efficiente monde,3
rien peut faire,3
toutes formes naturelles,3
re tourne rien,3
toutes fois peut,3
ni ni autre,3
beaucoup plus vray,3
cendre autre chose,3
plus petit angle,3
entre deux extremitez,3
commune toutes choses,3
moyenne region air,3
peut grand peine,3
foy mesme puis,3
chacun corps naturel,3
autant peut iuger,3
tous deux ensemble,3
pourquoy non parce,3
faudroit ceste forte,3
toutes autres choses,3
livre dv theatre,3
combien fortes corps,3
combien fortes animaux,3
leurs petits vie,3
plus facile renuerfer,3
corps plus efpez,3
comme peut veoir,3
plus grand quantité,3
pale sous filence,3
toutes fortes animaux,3
comme peut vcoir,3
lequel combien foit,3
voilà où vient,3
aussi quelques fois,3
terre comme proportion,3
dia metre terre,3
diuife plus grand,3
coupeau plus hautes,3
defia long temps,3
dix iours apres,3
plus froide region,3
quand fait grand,3
fait grand froid,3
explique moy cecy,3
delà peut entendre,3
demeuré long temps,3
occident occident orient,3
plus longue diftance,3
faut prendre garde,3
foit beaucoup plus,3
comment pourroit faire,3
comme pourroit dire,3
forme pomme pin,3
plus grand part,3
tant foit peu,3
bon gré mal,3
gré mal gré,3
apres ceste cy,3
long temps parauant,3
auec grand difficulté,3
pourquoy nature donné,3
fuit pres nature,3
longue durée vie,3
toutes fois elles,3
où vient poiffons,3
toutes fois quelques,3
où vient hommes,3
aucun autre animal,3
deux cents ans,3
où vient nature,3
nature uns autres,3
quelques fois plus,3
ame plus moins,3
toutes fois ceste,3
fans organes corporels,3
aist plus ame,3
corporelle apres elles,3
corps caduc ceste,3
foit bon foit,3
bon foit mauuais,3
trois mille cinq,3
mille cinq cens,3
degrez vingt minutes,3
trente trois minutes,3
trois cents vingt,3
parler plus clairement,3
plus clairement soleil,3
grandeur plus grandes,3
quatre mille quatre,3
diametres terre auec,3
quelle grandeur eftoille,3
plus grand diftance,3
qua rante quatre,3
quel moyen pu,3
diametre ombre terre,3
plus propre physicien,2
choses plus faciles,2
pourroit trouuer plus,2
matiere forme accidents,2
hypostase nature celle,2
intelligence comme homme,2
autres corps celestes,2
nature fçauoir dieu,2
fable critias platon,2
critias platon touchant,2
platon touchant enfantement,2
touchant enfantement cinq,2
enfantement cinq formes,2
peut entendre cecy,2
premier principe nature,2
plu fieurs autres,2
causes efficientes toutes,2
efficientes toutes choses,2
refuter faufes opinions,2
faufes opinions autres,2
difficile toutes autres,2
fommes ve nus,2
ve nus autre,2
autre chose femblable,2
cause efficiente finale,2
