token_,count
paradoxe moral,1
moral jean,1
jean bodin,4
bodin angevin,1
angevin u,1
u ilu,1
ilu ua,1
ua pasa,1
pasa vnefeule,1
vnefeule vertu,1
vertu mediocrité,1
mediocrité milieu,1
milieu deux,4
deux vices,5
vices forme,1
forme iniu,1
iniu pere,1
pere fils,1
fils us,1
us eftrange,1
eftrange pere,1
pere contre,1
contre lopinion,1
lopinion cómune,1
cómune quil,1
quil dioc,1
dioc ps,1
ps milieu,1
vices cfouuerairi,1
cfouuerairi bien,1
bien hommes,1
hommes né,1
né git,1
git point,1
point tà,1
tà ion,1
ion dévertu,1
dévertu autant,1
autant quilnya,1
quilnya chofe,1
chofe plus,2
plus desir,1
desir laiolif,1
laiolif of,1
of fouuerain,1
fouuerain bien,20
bien icícauroisvolon,1
icícauroisvolon tie,1
tie sde,1
sde grace,1
grace voftte,1
voftte commodité,1
commodité per,1
per auvray,1
auvray mis,1
mis auant,1
auant paradoxe,1
paradoxe ü,1
ü yapasvncefeulevertuen,1
yapasvncefeulevertuen ée,1
ée quil,1
quil vousen,1
vousen femblepour,1
femblepour ene,1
ene pago,1
pago ivsirvas,1
ivsirvas trouué,1
trouué bien,1
bien ls,1
ls riis,1
riis question,1
question plus,1
plus belle,5
belle lesubicr,1
lesubicr quisepre,1
quisepre ls,1
ls combien,1
combien ren,1
ren id,1
id tout,1
tout tls,1
tls seule,1
seule àutant,1
àutant quele,1
quele fils,1
fils peut,1
peut demanderau,1
demanderau pére,1
pére nile,1
nile pere,1
pere accorder,1
accorder fils,1
fils chofe,1
plus raifonable,1
raifonable doétrine,1
doétrine belle,1
belle honcfte,1
honcfte git,1
git prin,1
prin cipalementaux,1
cipalementaux vertusilluftres,1
vertusilluftres enlaco,1
enlaco gnoiffance,1
gnoiffance fouuerain,1
bien acorde,1
acorde wet,1
wet volontiers,1
volontiers voftrerequefte,1
voftrerequefte puis,1
puis plaift,1
plaift ainfi,1
ainfi pére,1
pére pourtenir,1
pourtenir ordre,1
ordre certain,1
certain com,1
com mencemétíeraporteàla,1
mencemétíeraporteàla fin,1
fin milieu,1
milieu àlautre,1
àlautre chacune,1
chacune partieau,1
partieau total,1
total enfei,1
enfei gnez,1
gnez moy,1
moy vousprie,1
vousprie pfemier,1
pfemier lieus,1
lieus eet,1
eet quebien,1
quebien pe,1
pe quiéft,1
quiéft profitable,1
profitable vtile,1
vtile àcel,1
àcel er,1
er ha,1
ha ioüiffance,1
ioüiffance beaucoup,1
beaucoup chôfes,1
chôfes vtiles,1
vtiles profitables,1
profitables chäcun,1
chäcun ppel,1
ppel maïs,1
maïs iefcaurois,1
iefcaurois volótiers,1
volótiers eftleplusgrád,1
eftleplusgrád bé,1
bé bié,1
bié eftla,1
eftla chofé,1
chofé plus,1
plus vtile,1
vtile plus,1
plus á,1
á ilnia,1
ilnia neceffaire,1
neceffaire toute,1
toute creature,2
creature peutiinas,1
peutiinas wy,1
wy giner,1
giner dieu,1
dieu duquel,1
duquel toutes,1
toutes lesfources,1
lesfources col,1
col debiens,1
debiens ontiffues,1
ontiffues rié,1
rié demal,1
demal éft,1
éft celuy,1
celuy xad,1
xad b,1
b pat,1
pat pis,1
pis privation,1
privation comme,1
comme quid,1
quid di,1
di ons,1
ons tenebres,1
tenebres efte,1
efte faute,1
faute lumiere,1
lumiere ainfi,1
ainfi mal,1
mal peut,2
peut dire,9
dire defaillance,1
defaillance debien,1
debien b,1
b carentousdiícours,1
carentousdiícours doit,1
doit premierement,1
premierement é,1
é chercherfila,1
chercherfila chofe,1
chofe dont,1
dont queftioneften,1
queftioneften nature,1
nature parauant,1
parauant fenquicte,1
fenquicte quelleclle,1
quelleclle cft,1
cft pourquoy,1
pourquoy quelle,1
quelle fnelle,1
fnelle fai,1
fai sile,1
sile mal,1
mal rien,2
rien fait,2
fait mal,1
mal fait,3
fait sien,1
sien îleft,1
îleft vray,1
vray cefte,1
cefte cafe,1
cafe géul,1
géul atilius,1
atilius difoit,1
difoit fort,1
fort propos,1
propos vaux,1
vaux mieux,1
mieux où,1
où crien,1
crien arse,1
arse cena,1
cena di,1
di eio,1
eio nii,1
nii pte,1
pte mem,1
mem vo,1
vo quay,1
quay eftce,1
eftce ift,1
ift quedé,1
quedé coñtraireaubien,1
coñtraireaubien ent,1
ent termes,1
termes philo,1
philo fophigonnefedoibt,1
fophigonnefedoibt jamais,1
jamais atrefter,1
atrefter thôrité,1
thôrité maisil,1
maisil fautbaläcertoutau,1
fautbaläcertoutau contres,1
contres pois,1
pois raifon,1
raifon carmefmes,1
carmefmes atiftotenefic,1
atiftotenefic onques,1
onques mife,1
mife ni,1
ni tecepte,1
tecepte tauthorité,1
tauthorité maiftre,1
maiftre platon,2
platon non,1
non plusque,1
plusque ide,1
ide toüsles,1
toüsles siutrés,1
siutrés philofophes,1
philofophes orlonvvoidque,1
orlonvvoidque nófeu,1
nófeu jementariffote,1
jementariffote mefprisen,1
mefprisen cequ,1
cequ illia,1
illia faitlgmalcontráireaubicn,1
faitlgmalcontráireaubicn ains,1
ains auffi,4
auffi hx,1
hx quileftimelcbien,1
quileftimelcbien fire,1
fire fini,1
fini mal,1
mal infini,2
infini o,1
o quee,1
quee mal,1
mal proce,1
proce cede,1
cede be,1
be lan,1
lan mati,1
mati plaittfiie,1
plaittfiie ene,1
ene cz,1
cz dire,1
dire ntt,1
ntt diétoires,1
diétoires feoyét,1
feoyét veritable,1
veritable avri,1
avri dieu,1
dieu comme,1
comme affeurons,1
affeurons eb,1
eb vientlemal,1
vientlemal ya,1
ya point,2
point dieu,1
dieu com,1
com medifentles,1
medifentles atheiftes,1
atheiftes vient,1
vient bien,1
bien dire,1
dire mefchans,1
mefchans hommes,1
hommes valét,1
valét rien,1
rien ceft,1
ceft parler,1
parler impropremé,1
impropremé toutesfois,1
toutesfois ikfautainfi,1
ikfautainfi accommoder,1
accommoder menu,1
menu peuple,1
peuple faire,1
faire hair,1
hair actes,1
actes miechans,1
miechans lefquels,1
lefquels actes,1
actes damnables,1
damnables foi,1
foi parler,1
parler proprement,1
proprement peut,1
dire queles,1
queles paricides,1
paricides voleurs,1
voleurs moins,1
moins bôs,1
bôs queles,1
queles gens,2
gens debien,2
debien honneur,1
honneur plus,1
plus fohs,1
fohs éloigne,1
éloigne fouucrain,1
fouucrain bié,2
bié moins,1
moins an,1
an cft,1
cft bon,1
bon ainfi,1
ainfi puifquele,1
puifquele mal,1
mal purement,1
purement fimplement,1
fimplement pris,1
pris manque,1
manque tout,1
tout bien,10
bien aucune,1
aucune effence,1
effence fubftance,1
fubftance aiplaceen,1
aiplaceen toute,1
toute nature,1
nature quine,1
quine peut,2
peut imaginér,1
imaginér priuation,1
priuation debien,2
debien irnpoffible,1
irnpoffible mal,1
mal prenne,1
prenne origine,1
origine delamatierecreede,1
delamatierecreede dieu,1
dieu quiparticipe,1
quiparticipe defà,1
defà bonté,1
bonté maticreferoit,1
maticreferoit pire,1
pire quele,1
quele mal,1
mal dieu,1
dieu feroit,2
feroit encor,1
encor pire,1
pire lvn,1
lvn yautre,1
yautre cómele,1
cómele feu,1
feu toufiours,1
toufiours plus,2
plus chaud,1
chaud quéléau,1
quéléau chaude,1
chaude chaleur,1
chaleur feu,1
feu ilfaut,1
ilfaut donc,1
donc conclurre,2
conclurre point,1
point matiere,1
matiere beaucoup,1
beaucoup moins,4
moins és,1
és fescompofeesdicelle,1
fescompofeesdicelle pes,1
pes epis,1
epis aes,1
aes matiere,1
matiere foit,1
foit bonne,1
bonne caufe,1
caufe mal,1
mal eftce,1
eftce paxranpox,1
paxranpox puis,1
puis bien,2
bien comprédre,1
comprédre pourquóy,1
pourquóy lemal,1
lemal côtraire,1
côtraire bien,1
bien sil,1
sil con,1
con traire,1
traire autre,1
autre mal,1
mal auroit,1
auroit certaine,1
certaine effen,1
effen comme,1
comme bié,1
bié chofei,1
chofei imposible,1
imposible comme,1
comme auons,1
auons monftré,1
monftré ci,1
ci deffus,1
deffus feroyent,1
feroyent tous,1
tous deux,1
deux foubs,1
foubs mefme,1
mefme genre,1
genre lyne,1
lyne ftoitinfini,1
ftoitinfini auffi,1
auffi feroit,1
feroit autre,1
autre parlanature,1
parlanature chofes,1
