token_,count
cinq cens,13
mil escus,13
cens ans,10
an cinq,10
beaucoup plus,10
quatre cens,10
deux cens,9
plus haut,9
trois cens,8
an mil,8
fix den,8
cinq sous,7
cens mil,7
toutes choses,6
plus cher,6
peu pres,6
fois plus,6
meilleur conte,6
escus vieux,6
ay dit,6
peu peu,5
ans apres,5
cens vingt,5
foixante ans,5
dix fois,5
abondance argent,5
pris choses,5
hors mis,5
roy henry,5
argent pur,5
douze deniers,5
monnoye argent,5
mil quatre,5
pauure peuple,5
douze grains,5
eau fort,5
plus chere,4
plus efcu,4
quatre livres,4
fieur maleftroit,4
fois autant,4
fix mil,4
dix den,4
faut donc,4
dix ans,4
noz peres,4
cela fait,4
plus grand,4
efpa gne,4
ains aussi,4
grands feigneurs,4
cens quatre,4
quatre vins,4
trente fix,4
fift forger,4
vingt deux,4
plus forte,4
quatre deniers,4
peu plus,4
escus fol,4
efcu fol,4
comme ray,4
plus part,4
onze deniers,4
deniers douze,4
plus argent,3
non plus,3
lors plus,3
tout certain,3
foixante sous,3
pris plus,3
peut voir,3
meilleure terre,3
plat pays,3
cent mil,3
ar gent,3
dou ze,3
quatre den,3
dix sous,3
douze den,3
depuis foixante,3
deux tiers,3
comme dit,3
mil francz,3
fix mois,3
an glois,3
peut trouuer,3
depuis temps,3
philippele bel,3
plus grande,3
ioint aussi,3
peut faire,3
tellement queles,3
tellement quele,3
dix mil,3
bas pays,3
efpagne italie,3
lieux fait,3
cens escus,3
roy françois,3
fix vins,3
quil faut,3
autres iours,3
tou tesfois,3
autres choses,3
cens cinquante,3
comme ay,3
depuis trois,3
pied cheual,3
cinq noftres,3
vns autres,3
dela moitié,3
trois deniers,3
marc argent,3
vray elt,3
plus dela,3
efté plus,3
vingt fois,3
denier argent,3
vingt trois,3
tout ainfi,3
argent plus,3
deux deniers,3
vin fel,3
tout coup,3
pied monnoyes,3
faux monoyeur,3
faux monnoyeurs,3
fel ammoniac,3
telle monnoye,3
pris del,3
livres argent,3
tou choses,2
ie mettray,2
monfieur maleftroit,2
temps roy,2
roy philippe,2
philippe valois,2
poix valeur,2
dix livres,2
plus outre,2
tirer confequence,2
choses pris,2
ita lie,2
faifoit lors,2
exemple tres,2
noftre valoir,2
plus loing,2
meilleur blé,2
fix vintz,2
vintz livres,2
cens trente,2
moindre pris,2
cens foixante,2
pur achapt,2
quarante ans,2
escus foleil,2
deux fois,2
pris ordinaire,2
fait depuis,2
b r,2
cens quinze,2
vint ans,2
queles romains,2
auiour huy,2
pay fans,2
dix douze,2
tant foit,2
foit peu,2
noz regiftres,2
mil sous,2
cequei ay,2
ay veu,2
premiers sous,2
plus fort,2
fol forgé,2
dela chambre,2
trois quatre,2
den poulle,2
den mout,2
mout gras,2
gras auec,2
auec laine,2
prisé cinq,2
cochon dix,2
den hyuer,2
mil cinq,2
deux fix,2
peut dire,2
ie di,2
auiourd huy,2
vielles hiftoires,2
auec peu,2
haufle pris,2
quele peuple,2
pierres precieufes,2
terres neufues,2
empereur tibere,2
dit pline,2
ainfi aduient,2
aduient toutes,2
choses faut,2
argent pays,2
quele roy,2
foixante mil,2
peuple mefmes,2
naturelle ment,2
fans aller,2
plus ar,2
depuis an,2
iuf ques,2
dire plus,2
bonté naturelle,2
temps là,2
quarante cinq,2
nefift point,2
cin quiefme,2
quiefme partie,2
dira quelqu,2
autre part,2
mai ftre,2
foubs puiffance,2
toiles draps,2
ouurages main,2
tout peuple,2
dela cofte,2
outre quarante,2
bien fouuent,2
fix fept,2
royaume depuis,2
long temps,2
depuis cetemps,2
mauuaifes humeurs,2
ars mecaniques,2
aussi bien,2
pays languedoc,2
naturelle peuple,2
tous ans,2
faire profit,2
celte ville,2
alexandre seuere,2
vint cinq,2
plus efpagne,2
comei ay,2
ay ceu,2
trop grand,2
bon marché,2
eftil certain,2
pofsi ble,2
porte blé,2
ven dre,2
fait bien,2
non feulement,2
tous metaux,2
vient italie,2
comme ila,2
quoy faifant,2
peu eftime,2
tellement noz,2
auons veu,2
roit plus,2
leroy henry,2
grad marché,2
cho fes,2
perle grand,2
uoy foit,2
plus belle,2
queles princes,2
aller plusloig,2
tous peuples,2
fait choses,2
bon droit,2
peut viure,2
toutes fortes,2
deux escus,2
plus grands,2
charté viures,2
beau coup,2
monoye erain,2
vins ans,2
dit polybe,2
trois sous,2
tribun peuple,2
quatre ans,2
lors quela,2
fes fubiects,2
encherir choses,2
pois argent,2
noftre mer,2
quel téps,2
quoy fai,2
quelque fois,2
tout monde,2
mil lions,2
millions escus,2
marc antoine,2
bien plus,2
agreables feruices,2
monsieur maleftroit,2
titre monnoyes,2
monnoyes forgees,2
faint louys,2
pois aloy,2
puis apres,2
francs pied,2
valoit cinq,2
fol ancié,2
ancié fin,2
fin argent,2
del an,2
cent sous,2
fecod lieu,2
anciéne monnoye,2
li ures,2
ancienne valeur,2
plus foible,2
mefme pied,2
ans comme,2
mil trois,2
quele marc,2
argent valoit,2
quatre vingt,2
mis auant,2
deux mois,2
cin quante,2
haut pris,2
sous sous,2
temps louys,2
louys douziefme,2
dit cy,2
cy deffus,2
qua tre,2
noftre billon,2
fois moins,2
autant moins,2
moins prifees,2
valoit trente,2
ie ay,2
meilleur marché,2
dou bles,2
plus foibles,2
cuiure argent,2
cens quarante,2
autant dire,2
quatre grains,2
veiel vaut,2
foleil dix,2
dix couronne,2
vieux escus,2
fept cens,2
trente cinq,2
cinq mil,2
