token_,count
où vient,17
quelque chose,11
quelle chose,7
entendement agent,5
long temps,5
faut doncques,5
trois ames,5
telle forte,5
corps naturel,4
rayons yeux,4
quelque part,4
ame vegetale,4
quelques vns,3
ame plantes,3
donne vie,3
feparée corps,3
pourquoy non,3
mefine chose,3
donne vigueur,3
ame chap,3
contre corps,3
yeux contre,3
mv sr,3
corps diaphane,3
cefte cause,3
choses fenfibles,3
pourroit faire,3
choses fingulieres,3
propre corps,3
pource toute,3
gens bien,3
faut douter,2
ame humaine,2
moins corruption,2
ame for,2
homme eftant,2
forme viuifiante,2
corps viuifie,2
non feulement,2
enfemble acte,2
ames hommes,2
corps naturels,2
entendement patible,2
bien peu,2
ame eff,2
grand nombre,2
difference entre,2
quia efté,2
couleur bleué,2
corps vifible,2
emiffion rayons,2
nombre infiny,2
vient doncques,2
hiboux voyent,2
appellé grecs,2
contre mi,2
eau troublée,2
moins feu,2
choses vifibles,2
quelque corps,2
foit toufiours,2
fentir agir,2
miniftere sens,2
cause appellé,2
force fentiment,2
chose fenfible,2
trefbien exprimée,2
dehors corps,2
deuant yeux,2
peur voir,2
contre vné,2
angle ligne,2
vient celà,2
oà vient,2
fois ariftote,2
guarit maladies,2
fuis certes,2
ceft chose,2
euft pu,2
quand efcript,2
parle moyen,2
obieéts fenfibles,2
confuz enfemble,2
voir cecy,2
choses intelligibles,2
quatre mots,2
sens commun,2
def ia,2
accidents accidents,2
lequel appellent,2
volonté repugnante,2
chose bonne,2
combien foit,2
quand elles,2
forces facultez,2
gré bon,2
gré voulions,2
entendu dire,2
niles anges,2
ouy certes,2
foy foy,2
pluficurs choses,2
efté appellez,2
organes corporels,2
ames diftin,2
grands perfonnages,2
quel inconuenient,2
inconuenient auroit,2
quelle forte,2
faculté vegetale,2
demeure furuiuan,2
forme humaine,2
mauuais demons,2
choses futures,2
fort loing,2
aucune douleur,2
autant quil,2
celà foit,2
bons mauuais,2
voire mefine,2
nc pourroit,2
dieu donné,2
quelques membres,2
foit corps,2
toute forme,2
corps humain,2
nature corporelle,2
efcript anges,2
ames humaines,2
ames hom,2
diftance terminée,2
fübftance finie,2
chose mal,2
foit quelque,2
quelque lieu,2
infinie hors,2
aucune raifon,2
cefte vie,2
vatriesme dv,1
dv theatre,1
theatre atvre,1
appartienne contemplatcur,1
contemplatcur nature,1
forme naturelle,1
appert plantes,1
beftes bruftes,1
autant philofophes,1
nature fufdiétes,1
plusieurs dentr,1
preuuent arguments,1
arguments non,1
non seulement,1
seulement vray,1
aufsi neceffai,1
res faire,1
faire consentir,1
consentir raifons,1
raifons opiniaftres,1
vient exterieurement,1
feparer corps,1
corps lhomme,1
viure iceluy,1
entierement phyfique,1
difpnce coup,1
humaine eftant,1
eftant feparée,1
pape corps,1
corps elfence,1
elfence corporelle,1
vient definition,1
ame toque,1
toque corps,1
corps obfcure,1
chose rem,1
rem rer,1
rer ac,1
ac ft,1
ft definir,1
ello metaphyfique,1
metaphyfique mefine,1
neluy pouttois,1
pouttois refpondre,1
sinon couuercle,1
couuercle maifon,1
trier chose,1
cité parfe,1
definition tombe,1
tombe feulement,1
feulement ruyne,1
ruyne lamaifon,1
aufsila maifon,1
maifon enfem,1
ble cu,1
cu ofte,1
ofte couuerture,1
pourras definir,1
lh maifon,1
finon disant,1
prisme maz,1
maz bois,1
mcfme auís,1
auís defi,1
quand ek,1
ek partie,1
partie corps,1
corps animé,1
quand feparce,1
hypostak fondement,1
beftes cle,1
cle perit,1
perit moins,1
corruption corps,1
corps forme,1
vnc feneitre,1
ariftote tier,1
tier formes,1
formes naturelles,1
naturelles peritfent,1
peritfent enuc,1
rement ruyne,1
ruyne fübicét,1
routesfois femble,1
excepté celle,1
homme aum,1
quelques formes,1
formes perillent,1
perillent merspbyfique,1
demande doncques,1
sion don,1
ner quelque,1
quelque definition,1
eftime cefte,1
cy ci,1
ci meilleure,1
for fubftantielle,1
autznt defi,1
defi niuon,1
feulement commune,1
commune plan,1
aufsi comprend,1
comprend calle,1
calle ment,1
vie omar,1
refte apresla,1
apresla mort,1
definition generali,1
generali dis,1
animaux foit,1
foit feulement,1
feulement forme,1
forme fub,1
celle ihomme,1
ihomme viuifiant,1
eftant feparé,1
corps foit,1
foit vae,1
vae forme,1
viuific corps,1
corps aucune,1
aucune maniere,1
rien vit,1
forme feparéc,1
donne aucune,1
aucune vigucur,1
vigucur corps,1
doncques forme,1
sila raison,1
aristote cítoit,1
cítoit vallable,1
dieu meíme,1
meíme vit,1
vit corps,1
premiere cause,1
cause viuifiante,1
viuifiante choses,1
iienne vic,1
toit viure,1
viure fazulté,1
fazulté vegetante,1
telle raison,1
raison estiugé,1
cun philofophes,1
philofophes abfurde,1
fiut doncques,1
doncques neceffairement,1
tcl foitl,1
lcs choses,1
choses incorporclles,1
incorporclles viuifient,1
doutera quc,1
ame feparée,1
chose nelle,1
nelle corporel,1
puulle viuifier,1
ous difcourirons,1
difcourirons cecy,1
cecy lieu,1
pourquoy fuyuons,1
fuyuons dcfini,1
ions anciens,1
hofes faut,1
ame foyent,1
foyent fauffes,1
non usjfoit,1
usjfoit veritable,1
elles bt,1
bt nombre,1
nombre tvingt,1
tvingt non,1
feulement differentes,1
differentes parolles,1
ais chose,1
doncil queftió,1
dia ls,1
ls lifons,1
its qvatrissme,1
qvatrissme laiyre,1
definir chose,1
plusieurs façons,1
fivne meñue,1
chose riufeur,1
definitions diffe,1
conuiendroit aucune,1
icelles conuerullant,1
nition definy,1
definy def,1
pourtant tres,1
tres necellaire,1
necellaire toute,1
toute vraye,1
vraye definition,1
comprend seule,1
seule cflence,1
toutesfois ij,1
puiffe deftruyre,1
efgaller entierement,1
entierement dcfiny,1
examiner chacune,1
chacune ccs,1
ccs definitions,1
definitions poids,1
fn puissions,1
puissions choifir,1
choifir meilleure,1
ariftote mis,1
mis douzc,1
douzc auant,1
auant tirées,1
tirées an,1
afpargnées refuter,1
ecileà difcernc,1
trouuer vray,1
toutesfoisilni preuuc,1
preuuc fienne,1
fienne mefine,1
ila lake,1
lake pofterité,1
pofterité bonnc,1
lete prie,1
prie declaire,1
declaire lamoy,1
eff entclechie,1
entclechie corps,1
phe morne,1
pretation philopene,1
somme toute,1
obfcunté chose,1
mefine citoit,1
citoit defia,1
defia allez,1
allez obfcure,1
eícript pux,1
sperremenr eudemus,1
motu traiété,1
iniure temps,1
pourquoy fuvutons,1
pretation latins,1
corps narurel,1
vie puiffance,1
chose cltre,1
cltre enfemble,1
non diucrs,1
diucrs refpcéts,1
tellemét telles,1
commoditez donné,1
donné occafion,1
occafion ammonius,1
ammonius riu,1
delaitfer party,1
ame cause,1
cause efficiente,1
efficiente acc,1
th pourquoy,1
pourcc quc,1
quc vie,1
moins veu,1
quelle incommodité,1
incommodité auroit,1
opinion themifius,1
acquifition parfc,1
ninie moindres,1
moindres incommoditez,1
incommoditez precedente,1
comment cela,1
pource ames,1
hommes fcroyent,1
fcroyent moins,1
moins mortelles,1
mortelles interpretauon,1
interpretauon precedente,1
ame cít,1
cít acte,1
acte parfcétion,1
parfcétion corps,1
nepourra fs,1
fs corps,1
ecdesiae rame,1
rame arr,1
arr trottoir,1
trottoir ur,1
gas qvyvarriss,1
qvyvarriss itcm,1
nepourra fubfifter,1
organes corpercls,1
entierement lis,1
contre doctrine,1
f lame,1
lame chap,1
ame entendre,1
entendre ans,1
ans organe,1
organe corporel,1
eftanc feparée,1
corps elementaire,1
homme retint,1
nature corporclle,1
ftotc feroit,1
feroit cela,1
cela exempte,1
exempte fufdiêtes,1
fufdiêtes incommoditez,1
bonne definition,1
definition foit,1
foit tirée,1
tirée kel,1
íence mefine,1
tude relation,1
depend parfe,1
tion corps,1
definy lame,1
corps organique,1
definy rien,1
foit propre,1
itemjon trouve,1
trouve pluficurs,1
pluficurs corps,1
mouvement organes,1
ortie marine,1
aphrodifce celà,1
celà organifé,1
ficurs parties,1
parties differentes,1
defquelles chacune,1
employe propre,1
propre f,1
derniere parfeétion,1
agent cít,1
cít beau,1
coup excellente,1
celle iam,1
academiciens pelé,1
pelé parfe,1
difent fuyuans,1
fuyuans celà,1
nion democrite,1
finon bien,1
peu perfonnes,1
met pluftoft,1
ame srcr,1
themiftius inrerpretent,1
inrerpretent ainíi,1
ainíi mot,1
mot puif,1
uer fance,1
puitfe doubter,1
ayent vie,1
vie actc,1
air incetfammét,1
autrement faudroit,1
faudroit dire,1
fót morts,1
vifs rout,1
cor raifon,1
ame ve,1
getante commune,1
commune beftes,1
fois vic,1
vic toufiours,1
toufiours acte,1
taçoit cs,1
cs reicété,1
reicété bon,1
bon droit,1
droit definition,1
fois dcfi,1
nition gencrallc,1
eff for,1
femble bien,1
bien expliquer,1
expliquer huifference,1
plantes celle,1
ui donne,1
ame bc,1
homme mr,1
celle donne,1
vie vigueur,1
quoy faut,1
faut remar,1
nombre comprend,1
comprend petit,1
ctragoncle trigone,1
gone cerclckour,1
cerclckour mefine,1
mefine faut,1
iuger formes,1
formes fubftanticiles,1
laquzlle donne,1
donne ellence,1
ellence choses,1
moins cercle,1
cercle figures,1
quelle peuft,1
peuft fubfiter,1
mefine nature,1
qyvartrissus eivar,1
liu p,1
piaron is,1
is theatci,1
quartrissumez srcr,1
corps lucide,1
termine contre,1
fafle reflexion,1
reflexion rayonslil,1
rayonslil coures,1
fois difference,1
entre fplendeut,1
pource frlen,1
corps tranfparens,1
tranfparens luifanrs,1
chose reflexion,1
reflexion lumiere,1
rezzines cho,1
lefquelles outre,1
outre splendeur,1
splendeur quelque,1
quelque lumieg,1
lumieg elles,1
quelques eícailles,1
os poitfons,1
mefime quelque,1
quelque bois,1
bois pou,1
pou ry,1
veoir nuiét,1
tellement pluficurs,1
pluficurs appellent,1
appellent premicre,1
premicre lu,1
mere clairté,1
clairté soleil,1
petit vermilfeau,1
chose feinblables,1
qvariristsm srcrtw,1
rions moins,1
moins lune,1
fois refplendiroit,1
cause ex,1
cefliue obícurité,1
efloigné terre,1
eftoyent diftantes,1
orbe lune,1
fubftance cor,1
pluficurs cest,1
cest aduis,1
trompent grandement,1
fila lu,1
toic celle,1
clle chatferoit,1
beftes nepourroyent,1
fpirer jour,1
jour soleil,1
nuict àla,1
àla lune,1
enfuiuroit mutuelle,1
mutuelle pc,1
netration corps,1
cit incollerable,1
incollerable nature,1
dencques lumiere,1
lumiere splendeur,1
splendeur premier,1
premier obiect,1
obiect veuëé,1
difference auvc,1
auvc couleur,1
miere accompagne,1
accompagne touliours,1
touliours couleur,1
monstre blanche,1
trois couleurs,1
couleurs eae,1
eae peuuent,1
peuuent veoic,1
veoic lumiere,1
couleur qualité,1
qualité adhe,1
rente corps,1
eftans illuminée,1
illuminée excite,1
excite vcuc,1
dcfiny couleur,1
corps tranfparent,1
pytagorcens difent,1
apparoiffince corps,1
fines fubfiter,1
pource corps,1
corps moins,1
moins coulourez,1
coulourez dedäs,1
dedäs p,1
p dchors,1
jo qv,1
triesme vantage,1
ja couleur,1
veoid traurrs,1
traurrs corps,1
corps diaphanes,1
apparoift ià,1
où ell,1
cause couleur,1
couleurs laiífent,1
laiífent moins,1
couleurs tenebres,1
h claitté,1
claitté iour,1
urg pluftoft,1
pluftoft obícures,1
obícures claires,1
veoir noir,1
bon iugement,1
iugement voudroit,1
voudroit confelfer,1
confelfer couleur,1
couleur fuft,1
cefte faculté,1
fert yeux,1
rayons comprenant,1
comprenant couleurs,1
chose rayon,1
claire qualité,1
corps luifanr,1
seulement luifant,1
auf refplenditfant,1
fois faut,1
be laa,1
corps foyent,1
foyent radieux,1
fate verte,1
verte quelqu,1
voulu dire,1
kiue cômune,1
vient couleur,1
couleur verde,1
monftre bleuë,1
bleuë nuiccaren,1
nuiccaren cecy,1
cecy cognoit,1
imbecillisé k,1
obscurité tenebsee,1
tenebsee laquclle,1
moindric clairté,1
clairté teincture,1
teincture verd,1
f reins,1
uleur jaune,1
jaune laine,1
efté premieremét,1
premieremét abbreuuée,1
abbreuuée ius,1
ius paitzi,1
duquel couleur,1
couleur bleuë,1
verras ausi,1
ausi toft,1
toft denenir,1
denenir verde,1
cit prefque,1
prefque rouh,1
rouh ours,1
ours iaune,1
changera couleur,1
bleué verde,1
fois turquoise,1
turquoise retient,1
retient nuiét,1
nuiét naiue,1
naiue couleur,1
bleué changer,1
foit falfifiée,1
ell apparoift,1
apparoift tovf,1
iours touchant,1
emiffion ravons,1
ravons fortans,1
fortans ióil,1
jours verde,1
maisle pourpre,1
pourpre femble,1
femble ranroft,1
ranroft cefte,1
cefte couleur,1
moins lumiere,1
lumiere soleil,1
où felon,1
felon force,1
force veu,1
imbecillité rend,1
rend obscur,1
telles femblables,1
femblables varictez,1
varictez pro,1
imparfcétion yeux,1
lion ptoicétion,1
ptoicétion rayons,1
rayons fortans,1
fortans yeux,1
erreur inueterée,1
platóen foa,1
alkindius yeux,1
deceu empedocles,1
quand difoyent,1
aucun corps,1
corps aite,1
aite viible,1
viible fépouuoit,1
fépouuoit vcoir,1
vcoir lafois,1
peripeëiue bien,1
bien íouuent,1
íouuent choses,1
choses apparoilloyent,1
lors commune,1
yeux feparoyent,1
certes iene,1
iene doubte,1
vifion foit,1
foit double,1
efgare tellement,1
tellement yeux,1
deen bas,1
che celà,1
apparoiffe aussi,1
aussi bien,1
bien double,1
double reception,1
yeux miroers,1
uécles images,1
images choses,1
choses obiectes,1
ií impertinent,1
penfer yeux,1
yeux enuoyent,1
enuoyent nombre,1
infiny rayons,1
hemifphere ciel,1
atteignent dás,1
dás moment,1
moment aftres,1
lefquels reuerberent,1
reuerberent ss,1
qva tairesme,1
tairesme inefme,1
inefme mouvement,1
mouvement lefdiéts,1
lefdiéts rayons,1
vifion faifoit,1
faifoit moyen,1
moyen rayons,1
enuoyez yeux,1
lalumiere dv,1
dv soleil,1
blancheur neips,1
neips ncles,1
ncles offenceroyent,1
fois aduient,1
aduient fouuent,1
fouuent contraire,1
arregarder tropattentiueinent,1
tropattentiueinent pert,1
pert veué,1
bon argument,1
argument preuuer,1
vifion pluftoft,1
ception images,1
doncques chats,1
voyent clair,1
clair grád,1
obícunité tranquiilius,1
tranquiilius profondes,1
profondes tenebres,1
ties aduenu,1
aduenu tibere,1
tibere cefar,1
caius marius,1
marius vie,1
celà eftcap,1
ft pellez,1
pellez nyctalopes,1
rien ja,1
ja nuit,1
nuit clairté,1
clairté miroers,1
vient yeux,1
yeux chaffieux,1
chaffieux infectent,1
infectent problemes,1
problemes regard,1
bien fains,1
fains jfi,1
tel vice,1
enuoye rayons,1
euffent pu,1
pu autrement,1
autrement regard,1
regard porter,1
porter cel,1
cel mal,1
liue yeux,1
yeux quelque,1
quelque lumiere,1
hifoirenau illurinét,1
illurinét quelque,1
quelque peu,1
cette lumiere,1
lumiere eftant,1
gopieufe remply,1
efprits organes,1
bie fr,1
veoir quelques,1
quelques animaux,1
rhefme cullut,1
cullut vermitfeau,1
vermitfeau appellé,1
grecs aduruns,1
efcarbot americains,1
efclaire profondes,1
profondes rencbres,1
rencbres pat,1
yeux refplédiffent,1
chose naturc,1
naturc aqucufc,1
aqucufc ei,1
ei quelque,1
quelque portion,1
portion defeu,1
là vient,1
voyent bien,1
bien prez,1
quantaux vice,1
vice yeux,1
yeux chafficux,1
aue crement,1
crement faadroit,1
oeil chaffieux,1
porte imal,1
bien fain,1
donna guarifon,1
moins em,1
pefcha violence,1
vient ausi,1
miroer ardent,1
ardent enflame,1
enflame pluftoft,1
pluftoft chose,1
chose teincte,1
teincte quelque,1
peur allumer,1
finon long,1
long efpace,1
