token_,count
mat nez dixiefme,1
mefine prefidene lmé,1
prefidene lmé lacou,1
enregiftraft actes publics,1
faire enfant neufuiefme,1
ages femmes rendirent,1
certain plusieurs femmes,1
feurs monstres diuerfes,1
monstres diuerfes fortes,1
pale sous filence,1
courte longue vie,1
longue vie hommes,1
vient hommes furmon,1
tent cout noipbre,1
cout noipbre refte,1
neuf fois seulement,1
cause efficiente depend,1
res auíli toute,1
auíli toute forte,1
toute forte dmd,1
ontleur vie courte,1
exterminoyent uns poifon,1
maladies populaires mettoyent,1
populaires mettoyent souvent,1
mettoyent souvent mort,1
peine pourroir toute,1
pourroir toute terre,1
toute terre furporter,1
terre furporter multitude,1
fage ouurier choses,1
ouurier choses voulu,1
autantquil uy pleu,1
uy pleu animal,1
pleu animal capable,1
animal capable raifon,1
capable raifon fof,1
raifon fof tres,1
seulement pou commander,1
conferuatfent focieté hom,1
è entre ies,1
entre ies hommes,1
fin quelques uns,1
quelques uns trouuatffent,1
uns trouuatffent entre,1
trouuatffent entre plufieur,1
entre plufieur our,1
plufieur our contempler,1
mettre auant clie,1
auant clie adinirées,1
vient poitfons perdent,1
poitfons perdent eig,1
perdent eig certaines,1
eig certaines années,1
certaines années faueurs,1
certa nes faifons,1
nes faifons certaines,1
faifons certaines peftes,1
certaines peftes enmibilitor,1
peftes enmibilitor tanto,1
enmibilitor tanto oifeaux,1
tantoft beftes terreítres,1
beftes terreítres cours,1
terreítres cours maladies,1
cours maladies populaires,1
maladies populaires temps,1
lacait efficiente cecy,1
année pluuieufe cou,1
yw elie apportera,1
elie apportera dommage,1
apportera dommage volaille,1
ux vers foye,1
année fiche fera,1
fiche fera salutaire,1
fera salutaire oileauxz,1
horf mis áuettes,1
contraire fera pernicieufe,1
fera pernicieufe poiffons,1
terreftres pcuuent viure,1
pcuuent viure fans,1
viure fans oftre,1
fans oftre fuffoquez,1
elpace fuffifanr res,1
fuffifanr res soir,1
refteíchir duleur refpiration,1
enclos vh lieu,1
auquél day ps,1
day ps faffifante,1
ps faffifante quantité,1
melmes cannes meurent,1
cannes meurent feau,1
sent moins autrosanimaux,1
viuoyent calce dus,1
calce dus pli,1
experience pd anf,1
pd anf lh,1
anf lh annéesthowsidnonfite,1
mebefte lus lonmée,1
lus lonmée hirée,1
lonmée hirée quete,1
hirée quete poillon,1
jour laquéltd hic,1
laquéltd hic poutroi,1
hic poutroi alle,1
vat meilleure raifonçgque,1
meilleure raifonçgque gráde,1
raifonçgque gráde cor,1
faft mis denue,1
files kon années,1
kon années cutfenvdóné,1
qn iecur fabicét,1
iecur fabicét autuné,1
fabicét autuné maladie,1
creiffent telle grandeur,1
myfticetesdhi grande balaines,1
toité quarante coudées,1
gueule beante elepl,1
beante elepl entier,1
crocoi aquatique excede,1
aquatique excede bien,1
excede bien souvent,1
bien souvent crénte,1
souvent crénte cooks,1
crénte cooks long,1
mcfnen crocodil coudées,1
finallemenit tow accroifflement,1
tow accroifflement moyen,1
lefquelles qualitez milieres,1
qualitez milieres mer,1
eau fie czt,1
mouruft soixante anstpr,1
soixante anstpr pollion,1
cuft mis dansvn,1
mis dansvn viuicr,1
auqudd seftoit enqor,1
mefine asgt eh,1
asgt eh vig,1
neant cant durée,1
fons pent ereur,1
pent ereur federic,1
íccond os ietta,1
os ietta vo,1
ietta vo brochet,1
vo brochet lac,1
paff anneau trauers,1
anneau trauers oreilles,1
trauers oreilles ave,1
oreilles ave nombre,1
ave nombre iouz,1
aint maladie populawegosèree,1
maladie populawegosèree cesto,1
populawegosèree cesto dsanimaux,1
cesto dsanimaux xs,1
enduraira pluftofl pierre,1
pluftofl pierre pourrir,1
vit uffi vie,1
uffi vie termine,1
vie termine pargäerre,1
termine pargäerre vieil,1
pargäerre vieil kfe,1
vieil kfe parce,1
fexons tentens fculerhenc,1
tentens fculerhenc sapügcr,1
fculerhenc sapügcr énufeux,1
ilsde tuc fuc,1
tuc fuc propre,1
fuc propre efpece,1
propre efpece fans,1
efpece fans eípargneq,1
fans eípargneq lens,1
eípargneq lens petits,1
cettain teropsüld deliopent,1
chienne mdpersiamais ja,1
mdpersiamais ja chair,1
ja chair dyaautre,1
chair dyaautre chien,1
