token_,count
plus,161
argent,100
cens,57
comme,57
pris,54
peuple,52
sous,50
deux,49
bien,48
fait,47
trois,46
escus,45
mil,45
quatre,44
peu,44
tout,43
monnoye,43
ans,42
dix,41
choses,40
cinq,40
aussi,39
peut,39
an,38
depuis,38
pays,37
deniers,36
ie,35
noz,35
point,34
faire,34
dela,34
six,33
dit,32
roy,32
douze,32
veu,31
faut,30
apres,29
den,29
moins,27
livres,26
fois,26
tous,26
autre,26
france,25
queles,25
autres,25
pois,25
auec,25
beaucoup,24
tellement,24
fort,24
toutesfois,23
ay,23
temps,22
lors,22
autant,22
foit,21
meilleur,21
moyen,20
fes,20
monnoyes,20
puis,19
quele,19
denier,19
tant,19
vingt,19
partie,19
dire,18
mesmes,18
fol,18
ya,17
nostre,17
foixante,17
quand,17
lieu,17
quoy,17
re,16
blé,16
cent,16
italie,16
vray,16
grand,16
forte,16
pied,16
efcu,15
quarante,15
donc,15
mesme,15
fift,15
huit,15
là,15
vaut,14
toutes,14
certain,14
paris,14
trente,14
dieu,14
feroit,14
fel,14
del,14
erain,14
marc,14
poiffon,14
non,13
cher,13
ainfi,13
charté,13
abondance,13
mer,13
quel,13
efpagne,13
loy,13
livre,13
grains,13
outre,12
maleftroit,12
leurs,12
royaume,12
iufques,12
iamais,12
romains,12
quinze,12
fans,12
bié,12
mis,12
caufe,12
quelque,12
plufieurs,12
faute,12
cela,12
profit,12
fin,12
marché,12
co,12
vieux,12
billon,12
quil,11
villes,11
vins,11
vint,11
voyons,11
peuples,11
cft,11
conte,11
chair,11
credit,11
encores,11
come,11
tre,11
aloy,11
eau,11
faux,11
perte,11
valeur,10
monde,10
pur,10
fera,10
quela,10
auons,10
fept,10
haut,10
peuuent,10
leroy,10
tel,10
princes,10
prince,10
cours,10
trop,10
grands,10
viures,10
p,9
tou,9
monfieur,9
porte,9
grande,9
mois,9
pres,9
moitié,9
ville,9
mieux,9
terre,9
toute,9
cinquante,9
ains,9
veut,9
ar,9
dou,9
vient,9
romme,9
arget,9
bon,9
trafique,9
fit,9
feu,9
auroit,9
titre,9
forger,9
pauure,9
chofe,8
voire,8
celte,8
ment,8
di,8
com,8
efté,8
louys,8
empereur,8
henry,8
eftimé,8
voit,8
ceroyaume,8
res,8
pierres,8
celuy,8
necefsité,8
combien,8
maifon,8
cofte,8
metaux,8
met,8
maiftre,8
quant,8
matiere,8
once,8
coup,8
valoit,8
nostres,8
poiflon,8
rien,7
donne,7
valoir,7
exemple,7
donné,7
moindre,7
