token_,count
roi charles ix,1
charles ix reine,1
ix reine mere,1
reine mere extrait,1
mere extrait bordereau,1
extrait bordereau mémoires,1
bordereau mémoires instructions,1
mémoires instructions écrit,1
instructions écrit main,1
écrit main michel,1
main michel hospital,1
michel hospital manusc,1
hospital manusc biblioth,1
manusc biblioth roi,1
biblioth roi jestois,1
roi jestois personne,1
jestois personne privée,1
personne privée vivrois,1
privée vivrois paix,1
vivrois paix chascung,1
paix chascung comme,1
chascung comme faics,1
comme faics amys,1
faics amys hantent,1
amys hantent voysins,1
hantent voysins champs,1
voysins champs ville,1
champs ville nul,1
ville nul procez,1
nul procez dif,1
procez dif férend,1
dif férend personne,1
férend personne estant,1
personne estant chancelier,1
estant chancelier chef,1
chancelier chef justice,1
chef justice france,1
justice france soubz,1
france soubz voz,1
soubz voz majestez,1
voz majestez conseiller,1
majestez conseiller premier,1
conseiller premier roy,1
premier roy conservateur,1
roy conservateur voz,1
conservateur voz biens,1
voz biens voz,1
biens voz droicts,1
voz droicts vostre,1
droicts vostre grandeur,1
vostre grandeur majesté,1
grandeur majesté voz,1
majesté voz loyx,1
voz loyx ordonnances,1
loyx ordonnances voz,1
ordonnances voz subjectz,1
voz subjectz peult,1
subjectz peult estre,1
peult estre faisant,1
estre faisant estat,1
faisant estat offense,1
estat offense tous,1
offense tous ceulx,1
tous ceulx entreprennent,1
ceulx entreprennent vostre,1
entreprennent vostre majesté,1
vostre majesté droicts,1
majesté droicts do,1
droicts do maines,1
do maines loyx,1
maines loyx ordonnances,1
loyx ordonnances cest,1
ordonnances cest droict,1
cest droict jamais,1
droict jamais craincte,1
jamais craincte plaire,1
craincte plaire encourir,1
plaire encourir inimytié,1
encourir inimytié estant,1
inimytié estant résoleu,1
estant résoleu servyr,1
résoleu servyr sire,1
servyr sire non,1
sire non gré,1
non gré vostre,1
gré vostre mémoires,1
vostre mémoires scachant,1
mémoires scachant mal,1
scachant mal aisé,1
mal aisé complaire,1
aisé complaire dieu,1
complaire dieu ensemble,1
dieu ensemble monde,1
ensemble monde jamais,1
monde jamais cherché,1
jamais cherché tant,1
cherché tant nom,1
tant nom bon,1
nom bon homme,1
bon homme faisant,1
homme faisant plaisir,1
faisant plaisir tous,1
plaisir tous estre,1
tous estre ferme,1
estre ferme scachant,1
ferme scachant définition,1
scachant définition justice,1
définition justice con,1
justice con stante,1
con stante perpétuelle,1
stante perpétuelle voulonté,1
perpétuelle voulonté garder,1
voulonté garder bailler,1
garder bailler chascung,1
bailler chascung sien,1
chascung sien appartient,1
sien appartient mesme,1
appartient mesme temps,1
mesme temps corrompeu,1
temps corrompeu fault,1
corrompeu fault venir,1
fault venir droicture,1
venir droicture plier,1
droicture plier contraire,1
plier contraire comme,1
contraire comme arc,1
comme arc verge,1
arc verge corbe,1
verge corbe dirois,1
corbe dirois voulontiers,1
dirois voulontiers ancien,1
voulontiers ancien disoit,1
ancien disoit pouvez,1
disoit pouvez souffrir,1
pouvez souffrir endurer,1
