token_,count
chafler malins esprits,2
sorciers moyen chasser,1
moyen chasser cíprits,1
chasser cíprits malin,1
cíprits malin gs,1
malin gs quien,1
lex forcez malins,1
forcez malins esprits,1
ilya moyen chasser,1
ha rs ve,1
rement conuentions tacites,1
part malins esprits,1
difons maintenant quifontaflie,1
personnes aflicgces malins,1
aflicgces malins cfprits,1
icunc fille cfclaue,1
fille cfclaue quiauoit,1
cfclaue quiauoit cíprit,1
quiauoit cíprit parloit,1
escripture appelle piton,1
quidisoitles choses cachees,1
saind paulprefchoient voye,1
paulprefchoient voye falut,1
moyen maistre gaignoir,1
diable attiroit personnes,1
attiroit personnes demander,1
personnes demander veri,1
teau maistre menfonge,1
villede munfter vcftphalie,1
baptiftes tenoyentla ville,1
apresla publication communauté,1
publication communauté biens,1
falloit raportaft lesdeniersen,1
raportaft lesdeniersen commun,1
trouva jeunes filles,1
jeunes filles rcueloyent,1
filles rcueloyent tour,1
void preuve quifont,1
preuve quifont pofledez,1
quifont pofledez diable,1
ilyena peu france,1
cà vnicuneenfant aagé,1
vnicuneenfant aagé douze,1
village vantclet pres,1
vantclet pres ville,1
pres ville laon,1
fils dun gentil,1
moys mort famerea,1
mort famerea eftéfaifi,1
quefoisluy entroit dedans,1
entroit dedans corps,1
fron vouloit ofter,1
ille retiroit force,1
çay depuisil deliuré,1
onà veuaussi douze,1
veuaussi douze treize,1
douze treize femme,1
treize femme verüin,1
fatexorcifee ville laon,1
langages sans auoirappris,1
esprit parle icelles,1
tiroir langue iufques,1
langue iufques larynges,1
ilaveuen saxe femme,1
saxe femme demoniaque,1
neantmoins parloit grec,1
predictla guerre cruelle,1
guerre cruelle saxe,1
cruelle saxe mots,1
cuu avdys ts,1
avdys ts yn,1
ts yn to,1
yn to ado,1
to ado ty,1
ado ty to,1
terribles choses pays,1
fernelau zbditis rerum,1
zbditis rerum cattfis,1
ditauoir veu ieunegarcon,1
veu ieunegarcon demonia,1
siorict ecs parloit,1
ecs parloit grec,1
hippocrate iure morbo,1
iure morbo facro,1
penfoit fuft mal,1
fuft mal caduc,1
difference bien remarquee,1
bien remarquee pat,1
remarquee pat pofterité,1
onapperceutles diuerfes langues,1
plusieurs fymptomestous differens,1
quia ephimolei tibi,1
ephimolei tibi pra,1
soudain patient demoniaquetombe,1
lesautres diable corpsfont,1
diable corpsfont sorciers,1
faifiz demons vntemps,1
cftoientles preftreflespythiaquesen grece,1
peníoit dieu poffedoitleurs,1
dieu poffedoitleurs personnes,1
appelloyent cela enthoufia,1
apresauoir couché laca,1
diable parloir clles,1
appelloiétle dieu apollon,1
lefquelles eftoiét peuapres,1
eftoiét peuapres delivrees,1
eftoient vrayes demoniaques,1
vrayes demoniaques eftoyent,1
livrees certaines fuperftitions,1
dont hippocrate parle,1
chreftiens primitiue troisies,1
eglife vfoyent prieres,1
quife prefentoit poureftre,1
prefentoit poureftre baptizé,1
eult aucune ap,1
arence malin efpric,1
malin efpric enluy,1
toufiours citc gardé,1
garde encores baptefmes,1
encores baptefmes enfas,1
quifont baptifezà religioncatholique,1
quine pointsorcicrseinsa contrai,1
accord infinis pro,1
uention exprefleauec diable,1
sans prier dieu,1
era mal traité,1
mal traité tourmenté,1
pieu grace preferue,1
lequel fuyui partout,1
fuyui partout malinesprit,1
profod fommeil diable,1
efueilloitluy tirant lenés,1
vouloit pasluy chose,1
ila condamné plusieurs,1
condamné plusieurs sorcieres,1
plusieurs sorcieres eftoyét,1
sorcieres eftoyét bienaifes,1
onles faifoit mourir,1
ftoyent battues diable,1
aufft remarqué vngentil,1
home demeurant pres,1
demeurant pres villiers,1
pres villiers cofterets,1
dat efpaignolauoit vendu,1
efpaignolauoit vendu malin,1
vendu malin esprit,1
malin esprit anneau,1
anneau dedans feu,1
enaaussi qq sorgier,1
aufquels routesfois sathan,1
femblent fols seulement,1
fautent sans propos,1
thianeus maistre sorcier,1
homme prouient maladie,1
fignes personneeft poffedee,1
personneeft poffedee malin,1
poffedee malin esprit,1
void nefont autremét,1
nefont autremét fols,1
moinsils vont dormát,1
veu malades maladie,1
mesmes galen confeffe,1
ila efte malade,1
efte malade forte,1
malade forte foix,1
alla demy quart,1
demy quart lieue,1
quart lieue dormant,1
ilrencontra pierre quile,1
pierre quile tomber,1
maisil vont fort,1
vont fort souventla,1
fort souventla nui,1
tent furles maifons,1
plusfage home mode,1
home mode fcauroit,1
mode fcauroit moter,1
etfi onles appelle,1
spranger vcutober forte,1
vcutober forte orleàs,1
cut vnaussi agité,1
vnaussi agité lanuict,1
voyant aller riuiere,1
aller riuiere voulut,1
riuiere voulut pasle,1
voulut pasle fuyure,1
prefumer malin esprit,1
fuffit faire tomber,1
apparence monter dormant,1
monter dormant lieux,1
dormant lieux inacceflibles,1
ss ch retourner,1
ch retourner sans,1
retourner sans chopper,1
eftimer affiegé malin,1
affiegé malin cíprit,1
hors voye defalut,1
commeles faincts períon,1
paul premiere corinthiens,1
premiere corinthiens parlant,1
corinthiens parlant quiauoit,1
parlant quiauoit abufé,1
quiauoit abufé belle,1
abufé belle mere,1
expedient ceft hóme,1
là foitliuré sathan,1
fin esprit fauué,1
reste voir lesmoyens,1
voir lesmoyens chaffer,1
lesmoyens chaffer malines,1
chaffer malines esprits,1
malines esprits personnes,1
coniurer vnebefteirraisonnable eftát,1
vnebefteirraisonnable eftát icelle,1
eftát icelle agitée,1
icelle agitée sathan,1
agitée sathan offencerles,1
sathan offencerles hommes,1
quant moyens dechaffer,1
moyens dechaffer dzmons,1
dechaffer dzmons alexandre,1
quant coiurations aflés,1
coiurations aflés notoites,1
per deum viuum,1
oraison deus mifericordie,1
deus mifericordie crcet,1
execration ergo maledicfe,1
ergo maledicfe diabele,1
poudres malcfiques quife,1
malcfiques quife trouvent,1
maifon poffedé diable,1
aduis saint hilarion,1
ls adiouftentaussiles confessions,1
etneantmoinsles malins esprits,1
malins esprits fortent,1
esprits fortent pasfou,1
uent pourtout cela,1
mentioncy deuant celle,1
deuant celle pofledée,1
meure encores menil,1
encores menil pres,1
menil pres dammartin,1
neluy faifoit mal,1
exorfizerét ville paris,1
lefquels voulans exorcizer,1
voulans exorcizer diable,1
lifons és aëtes,1
és aëtes poftres,1
aëtes poftres disciples,1
prit malin corps,1
um quem paulus,1
quem paulus predicat,1
ref pondens autem,1
pondens autem spiritus,1
autem spiritus nequam,1
spiritus nequam dixit,1
nequam dixit eis,1
zefnm noui cz,1
noui cz paulum,1
foudainle diable faifit,1
histoire femblable sain,1
gregoire premier dialogue,1
ant femme faifie,1
femme faifie diable,1
foudain lediable faifit,1
coloigne moyne sorcier,1
moyne sorcier facetieux,1
grande reputation chaffer,1
reputation chaffer malins,1
chaffer malins esprits,1
iourle malin espritluy,1
malin espritluy demanda,1
espritluy demanda ouil,1
demanda ouil yroit,1
va ilen priué,1
nuicil batift tàt,1
batift tàt comeilalloit,1
tàt comeilalloit priué,1
fuft doy pres,1
doy pres mort,1
quelques fois diables,1
fois diables sen,1
diables sen vont,1
sen vont arcommandement,1
vont arcommandement sorciers,1
pluftoft quiluy obeifloyent,1
quiluy obeifloyent pourluy,1
obeifloyent pourluy donner,1
pourluy donner credit,1
donner credit deifier,1
rrouua force difci,1
ples quien cas,1
quien cas iefus,1
forte eufebe efte,1
eufebe efte contrain,1
contre philoftrate euangelifte,1
philoftrate euangelifte sorcier,1
symon magus faifoit,1
magus faifoit femblable,1
afineffe fubrilité dont,1
fubrilité dont sathan,1
dont sathan saduife,1
quifiteur met exemple,1
mé dachon preftre,1
long temps pofledé,1
temps pofledé diable,1
lequel disoit hayoit,1
disoit hayoit mort,1
hayoit mort choses,1
mort choses sathan,1
choses sathan ayme,1
recite magdebourg preftre,1
quifut poflede diable,1
poflede diable fept,1
quad demandoitaudiable pourquoy,1
demandoitaudiable pourquoy ilauoitcommé,1
cé àtourmenterle preftre,1
àtourmenterle preftre mois,1
auparauant dansle corps,1
dansle corps preftre,1
exorcifte demanda diable,1
demanda diable ouilfe,1
diable ouilfe cachoit,1
ouilfe cachoit quädle,1
cachoit quädle prefte,1
quädle prefte prenoit,1
iniuriat disoit pourquoy,1
fuistu prefence createur,1
debié paffe furle,1
paffe furle pot,1
pourquoy mefchätne pañlera,1
mefchätne pañlera foubs,1
pañlera foubs mesmepor,1
voilade motà motles,1
motà motles rr,1
ciers propos spranger,1
pourtenirtoufioursles hommesen erreur,1
pierre mamoren recite,1
mamoren recite quiaduint,1
recite quiaduint franceà,1
quiaduint franceà confollent,1
franceà confollent vienne,1
vndiable quife disoitl,1
complaignant bien fort,1
admoneftoit faire plusieurs,1
faire plusieurs prieres,1
reuela beaucoup choses,1
beaucoup choses veritables,1
alors lesatfi tas,1
lesatfi tas mocquerét,1
femblable aduintà nicolle,1
aduintà nicolle auberi,1
femme natifue veruin,1
cófci ler parleméta,1
ler parleméta escriptl,1
diét sathan sapparutà,1
priät foffe pere,1
come for fepulchre,1
falloir dire beau,1
faire quelques voyages,1
quelques voyages fpecifiez,1
cela laiffa detourméterceste,1
laiffa detourméterceste pau,1
plufieürs fois ett,1
fois ett cícriptreniob,1
ilnya puiffance terre,1
puiffance terre quiesathan,1
terre quiesathan craigne,1
opinion iofeph hifloirien,1
quefay remarqué dessus,1
ila veu iuifde,1
veu iuifde fà,1
iuifde fà nation,1
anneau nez celay,1
nez celay affi,1
quefoudain diable fuyoit,1
duire hommes reuerer,1
hommes reuerer creature,1
anneau portaft diamant,1
carilsen crouué opinion,1
garantift longes friuoles,1
poëte sans renom,1
cfcript iob quarante,1
pourquoy malins esprits,1
appel leseuz fols,1
leseuz fols lanuict,1
fols lanuict apparoiflant,1
souvent noyerles personnes,1
noyerles personnes chaf,1
croy bien creatures,1
bien creatures crainte,1
arolle dieu peuvent,1
dieu peuvent feruir,1
xemplela mufique eftl,1
choses adeforcecontre malins,1
adeforcecontre malins efpris,1
comeil cfcrit saul,1
malin esprit laiffoit,1
esprit laiffoit candis,1
laiffoit candis dauid,1
candis dauid touchoitfa,1
dauid touchoitfa harpe,1
vray dauid alors,1
dauid alors saint,1
alors saint esprit,1
tourmét saul neceffoit,1
saul neceffoit nonau,1
neceffoit nonau harpe,1
oit quela musique,1
quela musique chose,1
musique chose divine,1
reduit raison efgaree,1
raison efgaree principe,1
mufiquegatiftle corps parle,1
corps parle moyen,1
parle moyen lame,1
quela medecine garift,1
ame parle corps,1
etde avneefpece furieux,1
avneefpece furieux enallemaigne,1
quine œueriflent finon,1
muficienaccommode musique branfle,1
musique branfle fu,1
puisil fairpeu peu,1
mode cadence musicien,1
cadence musicien pofément,1
fte forte ilguerift,1
forte ilguerift faisant,1
ilguerift faisant repoler,1
appelle ladie sain,1
nouslifonsaussi queleprophete michee,1
queleprophete michee eftantappellé,1
michee eftantappellé pat,1
