token_,count
proposition harangue faicte,1
harangue faicte monsieur,1
faicte monsieur chancelier,1
monsieur chancelier france,1
chancelier france faict,1
france faict religion,1
faict religion ville,1
religion ville poissy,1
ville poissy assemblée,1
poissy assemblée prélats,1
assemblée prélats france,1
prélats france dernière,1
france dernière ment,1
dernière ment faicte,1
ment faicte audict,1
faicte audict lieu,1
audict lieu question,1
lieu question religion,1
question religion telle,1
religion telle impor,1
telle impor tance,1
impor tance besoing,1
tance besoing procède,1
besoing procède plus,1
procède plus meure,1
plus meure délibération,1
meure délibération faire,1
délibération faire pourra,1
faire pourra sans,1
pourra sans soyt,1
sans soyt transporté,1
soyt transporté aultre,1
transporté aultre affection,1
aultre affection ticuliére,1
affection ticuliére ains,1
ticuliére ains conduict,1
ains conduict seulement,1
conduict seulement sainct,1
seulement sainct désir,1
sainct désir ycelle,1
désir ycelle décider,1
ycelle décider salut,1
décider salut hommes,1
salut hommes tranquillité,1
hommes tranquillité publicque,1
tranquillité publicque ceste,1
publicque ceste cause,1
ceste cause toutes,1
cause toutes fois,1
toutes fois déli,1
fois déli bére,1
déli bére appaiser,1
bére appaiser différendz,1
appaiser différendz subveneus,1
différendz subveneus faict,1
subveneus faict religion,1
faict religion entre,1
religion entre aultres,1
entre aultres choses,1
aultres choses doibvent,1
choses doibvent estre,1
doibvent estre observées,1
estre observées ycelle,1
observées ycelle principale,1
ycelle principale use,1
principale use toute,1
use toute doulceur,1
toute doulceur bénignité,1
doulceur bénignité afin,1
bénignité afin ceulx,1
afin ceulx erreur,1
ceulx erreur puissent,1
erreur puissent rece,1
puissent rece voir,1
rece voir instruction,1
voir instruction laquelle,1
instruction laquelle rien,1
laquelle rien si,1
rien si con,1
si con traire,1
con traire force,1
traire force violence,1
force violence suivant,1
violence suivant dict,1
suivant dict saint,1
dict saint augustin,1
saint augustin dict,1
augustin dict dih,1
dict dih harangues,1
dih harangues gence,1
harangues gence plus,1
gence plus griefve,1
plus griefve profitable,1
griefve profitable contraindre,1
profitable contraindre hommes,1
contraindre hommes sans,1
hommes sans enseigner,1
sans enseigner faict,1
enseigner faict veu,1
faict veu nostre,1
veu nostre temps,1
nostre temps depuis,1
temps depuis nombre,1
depuis nombre ceulx,1
nombre ceulx seroient,1
ceulx seroient soustraitz,1
seroient soustraitz obéyssance,1
soustraitz obéyssance pape,1
obéyssance pape commencé,1
pape commencé multiplier,1
commencé multiplier royaulme,1
multiplier royaulme combien,1
royaulme combien avoyt,1
combien avoyt rigueur,1
avoyt rigueur ayt,1
rigueur ayt faict,1
ayt faict passer,1
faict passer espace,1
passer espace trois,1
espace trois ans,1
trois ans si,1
ans si cela,1
si cela rien,1
cela rien servy,1
rien servy exterminer,1
servy exterminer moindrir,1
exterminer moindrir nombre,1
moindrir nombre lequel,1
nombre lequel contraire,1
lequel contraire tellement,1
contraire tellement augmenté,1
tellement augmenté nonobstant,1
augmenté nonobstant toutes,1
nonobstant toutes peines,1
toutes peines aujourd,1
peines aujourd huy,1
aujourd huy infiny,1
huy infiny doibt,1
infiny doibt maintenant,1
doibt maintenant servir,1
maintenant servir bon,1
servir bon advertissement,1
bon advertissement besoing,1
advertissement besoing garder,1
besoing garder aultre,1
garder aultre moyen,1
aultre moyen si,1
moyen si veult,1
si veult mestre,1
veult mestre bonne,1
mestre bonne paix,1
bonne paix royaulme,1
paix royaulme pourtant,1
royaulme pourtant sl,1
pourtant sl question,1
sl question donner,1
question donner bon,1
donner bon adviz,1
bon adviz roy,1
adviz roy faict,1
roy faict fault,1
faict fault commen,1
fault commen cer,1
commen cer là,1
cer là scavoir,1
là scavoir adoulcir,1
scavoir adoulcir rigueurs,1
adoulcir rigueurs passées,1
rigueurs passées regard,1
passées regard ceulx,1
regard ceulx reculés,1
ceulx reculés ordre,1
reculés ordre appelle,1
ordre appelle féglise,1
appelle féglise confession,1
féglise confession foy,1
confession foy commune,1
foy commune raisons,1
commune raisons considérations,1
raisons considérations ensuy,1
considérations ensuy vent,1
