token_,count
aultres lettres patentes,2
scavoient tant loyx,2
douze cents escus,2
remonstrances chancelier hospital,1
chancelier hospital court,1
hospital court parlement,1
court parlement juillet,1
parlement juillet pe,1
juillet pe rs,1
pe rs encore,1
rs encore veoye,1
encore veoye tous,1
veoye tous jours,1
tous jours esprit,1
jours esprit bénévolement,1
esprit bénévolement souvent,1
bénévolement souvent aulcung,1
souvent aulcung personne,1
aulcung personne toutesfois,1
personne toutesfois prends,1
toutesfois prends grand,1
prends grand playsir,1
grand playsir veoir,1
playsir veoir tous,1
veoir tous ensemble,1
tous ensemble lieu,1
ensemble lieu où,1
lieu où jay,1
où jay usé,1
jay usé partie,1
usé partie bons,1
partie bons ans,1
bons ans afin,1
ans afin visitation,1
afin visitation seulement,1
visitation seulement agréable,1
seulement agréable moy,1
agréable moy aussy,1
moy aussy fructueuse,1
aussy fructueuse parleray,1
fructueuse parleray peu,1
parleray peu affaires,1
peu affaires justice,1
affaires justice peu,1
justice peu celles,1
peu celles mesmes,1
celles mesmes appartiennent,1
mesmes appartiennent ceste,1
appartiennent ceste compaignie,1
ceste compaignie scaurois,1
compaignie scaurois mieulx,1
scaurois mieulx propoz,1
mieulx propoz parler,1
propoz parler justice,1
parler justice lieu,1
justice lieu où,1
lieu où establie,1
où establie prin,1
establie prin cipale,1
prin cipale souveraine,1
cipale souveraine non,1
souveraine non poinct,1
non poinct intention,1
poinct intention reprendre,1
intention reprendre arguer,1
reprendre arguer noller,1
arguer noller aulcune,1
noller aulcune chose,1
aulcune chose cognoissant,1
chose cognoissant plus,1
cognoissant plus matière,1
plus matière moy,1
matière moy nul,1
moy nul conférence,1
nul conférence familiére,1
conférence familiére fraternelle,1
familiére fraternelle recognoistre,1
fraternelle recognoistre mot,1
recognoistre mot jamais,1
mot jamais francais,1
jamais francais erreur,1
francais erreur opiste,1
erreur opiste sens,1
opiste sens indique,1
sens indique b,1
indique b mer,1
b mer norrcir,1
mer norrcir harangues,1
norrcir harangues faultes,1
harangues faultes commun,1
faultes commun accord,1
commun accord remédier,1
accord remédier possible,1
remédier possible combien,1
possible combien pense,1
combien pense faire,1
pense faire comme,1
faire comme dict,1
comme dict meo,1
dict meo jure,1
meo jure passant,1
jure passant presque,1
passant presque tous,1
presque tous ceste,1
tous ceste compaignie,1
ceste compaignie ans,1
compaignie ans aage,1
ans aage honneur,1
aage honneur dignité,1
honneur dignité estant,1
dignité estant premier,1
estant premier non,1
premier non lorsque,1
non lorsque feus,1
lorsque feus esleu,1
feus esleu aultre,1
esleu aultre plus,1
aultre plus excellent,1
plus excellent partyes,1
excellent partyes plus,1
partyes plus requises,1
plus requises encore,1
requises encore attribue,1
encore attribue dieu,1
attribue dieu donna,1
dieu donna roy,1
donna roy souvenance,1
roy souvenance moy,1
souvenance moy absent,1
moy absent faict,1
absent faict cours,1
faict cours prez,1
cours prez fin,1
prez fin vins,1
fin vins cest,1
vins cest estat,1
cest estat chancelier,1
estat chancelier temps,1
chancelier temps trouble,1
temps trouble fort,1
trouble fort turbulent,1
fort turbulent jamais,1
turbulent jamais heure,1
jamais heure repoz,1
heure repoz durant,1
repoz durant sept,1
durant sept ans,1
sept ans encoureu,1
ans encoureu plusieurs,1
encoureu plusieurs peines,1
plusieurs peines inimitiez,1
peines inimitiez chargées,1
inimitiez chargées ni,1
chargées ni rechargées,1
ni rechargées refusées,1
rechargées refusées service,1
refusées service roy,1
service roy public,1
roy public doibs,1
public doibs servir,1
doibs servir exemple,1
servir exemple enseignement,1
exemple enseignement postérité,1
enseignement postérité desirer,1
postérité desirer hault,1
desirer hault lieu,1
hault lieu honneur,1
lieu honneur puis,1
honneur puis dire,1
puis dire escript,1
dire escript prince,1
escript prince parlant,1
prince parlant diadesme,1
parlant diadesme appeloit,1
diadesme appeloit malheureux,1
appeloit malheureux drapeau,1
malheureux drapeau disoit,1
drapeau disoit scauroit,1
disoit scauroit maulx,1
scauroit maulx miséres,1
maulx miséres cachés,1
miséres cachés sous,1
cachés sous iceluy,1
sous iceluy daigneroit,1
iceluy daigneroit lever,1
daigneroit lever terre,1
lever terre quiconque,1
terre quiconque desire,1
quiconque desire charge,1
desire charge desire,1
charge desire peines,1
desire peines travail,1
peines travail malheur,1
travail malheur suit,1
malheur suit feust,1
suit feust temps,1
feust temps roys,1
temps roys princes,1
roys princes chanceliers,1
princes chanceliers venoient,1
chanceliers venoient souvent,1
venoient souvent céans,1
souvent céans séyoient,1
céans séyoient judgeoient,1
séyoient judgeoient roys,1
judgeoient roys séparés,1
roys séparés leurs,1
séparés leurs harangues,1
leurs harangues grandes,1
harangues grandes affaires,1
grandes affaires si,1
affaires si ose,1
si ose dire,1
ose dire plaisir,1
dire plaisir chanceliers,1
plaisir chanceliers ambition,1
chanceliers ambition tenir,1
ambition tenir prés,1
tenir prés personnes,1
prés personnes roys,1
personnes roys aussy,1
roys aussy dicts,1
aussy dicts affaires,1
dicts affaires guéres,1
affaires guéres permiz,1
guéres permiz éloignassent,1
permiz éloignassent veulx,1
éloignassent veulx dire,1
veulx dire cela,1
dire cela adveneu,1
cela adveneu faulte,1
adveneu faulte ceste,1
faulte ceste compaignie,1
ceste compaignie digne,1
compaignie digne présence,1
digne présence assistance,1
