token_,count
toute eternité efté,1
geli matiere efté,1
matiere efté engendrée,1
euit efté precedente,1
acdentes pouuoir fairciil,1
pouuoir fairciil refte,1
fairciil refte donc,1
quc cette opinion,1
cette opinion authorifée,1
opinion authorifée tefmoignage,1
authorifée tefmoignage plufteurs,1
tefmoignage plufteurs nn,1
lairray pourtant verifier,1
doit enfcigner bonnes,1
enfcigner bonnes raisons,1
tement toute chose,1
autät auois peu,1
auois peu deuant,1
uoit efté crece,1
efté crece exempte,1
fuft commune choses,1
mité matiere fuffifante,1
matiere fuffifante preuuer,1
fuffifante preuuer choses,1
efté commencement jak,1
commencement jak djuopgos,1
dire matiere fans,1
matiere fans forme,1
forme fans matierc,1
confirme seulement parles,1
mesmes tenoyent ric,1
tenoyent ric ric,1
ric ric anciens,1
ric anciens predecefleurs,1
gnez premiere enfance,1
premiere enfance monde,1
quelle cause eftimes,1
entre lefquelles difference,1
maticre cítant fans,1
cítant fans formes,1
cune ccs differences,1
aiit efté dés,1
efté dés commencement,1
dés commencement origine,1
forme vfage matiere,1
vfage matiere diftinétion,1
matiere diftinétion dez,1
diftinétion dez corps,1
dez corps particuliers,1
difference vniuerfels diftin,1
veilu aucune forme,1
donc ariftote nic,1
choses naiffenr esjce,1
auoyent diucrfes matieres,1
là erre double,1
fubftance eftoir genre,1
eftoir genre commun,1
mcíme vniuoque fub,1
icelluy preuuer eternité,1
preuuer eternité cícript,1
mer vid veltigcant,1
vid veltigcant poison,1
cla zé aturc,1
philofophique laqueile appella,1
laqueile appella chaos,1
appella chaos rude,1
chaos rude malle,1
entendons cecy exactement,1
feul principe nature,1
doit toufiours pteceder,1
fuyuie diade premicr,1
diade premicr nombre,1
premicr nombre compofez,1
là fort corps,1
fort corps naturel,1
corps naturel accomply,1
naturel accomply matiere,1
fccond ordre compofez,1
ordre compofez animaux,1
compofez animaux tient,1
animaux tient comprend,1
tient comprend corps,1
comprend corps naturel,1
abre proprieté defquels,1
proprieté defquels chacune,1
defquels chacune chose,1
nät allez entendre,1
allez entendre refolution,1
entendre refolution degrine,1
cheual differentes cendres,1
cercher compolition corps,1
compolition corps natu,1
elements fonc fimples,1
fonc fimples quc,1
fimples quc lcs,1
quc lcs corps,1
lcs corps compofés,1
