token_,count
('', '', ''),665
('', '', 'autant'),31
('', 'forme', ''),20
('monde', '', ''),19
('corps', 'naturel', ''),18
('nature', '', ''),18
('', 'autant', ''),17
('', 'eau', ''),17
('', '', 'pourquoy'),16
('choses', '', ''),15
('', 'chose', ''),14
('chose', '', ''),14
('', '', 'fois'),14
('', 'rien', ''),13
('', 'com', ''),13
('', 'foit', ''),13
('forme', '', ''),13
('', '', 'dire'),13
('', '', 'premier'),12
('', '', 'rien'),12
('', 'encor', ''),11
('naturel', '', ''),11
('', 'matiere', ''),11
('', '', 'eau'),11
('', 'ment', ''),11
('', 'dire', ''),11
('corps', '', ''),10
('', 'choses', ''),10
('quelque', 'chose', ''),10
('', 'corps', 'naturel'),9
('', 'nature', ''),9
('', 'mv', ''),9
('cho', '', ''),9
('', 'fçauoir', ''),9
('', 'ariftote', ''),9
('', 'premiere', 'cause'),9
('', 'auantage', ''),9
('matiere', '', 'forme'),9
('', '', 'auantage'),9
('premiere', 'cause', ''),9
('cause', '', ''),9
('', 'veu', ''),9
('', 'pourquoy', ''),9
('', 'pource', ''),9
('matiere', '', ''),9
('', 'lieu', ''),9
('lieu', '', ''),9
('', '', 'encor'),8
('', 'th', ''),8
('', 'mobile', ''),8
('', 'tn', ''),8
('', '', 'chose'),8
('', '', 'efté'),8
('', 'fin', ''),8
('', 'faut', ''),8
('', '', 'elles'),8
('', '', 'pource'),8
('', 'mouvement', ''),8
('', 'non', ''),8
('rien', '', ''),8
('fçauoir', '', ''),7
('', '', 'non'),7
('', 'celuy', ''),7
('', 'dis', ''),7
('', '', 'corps'),7
('', '', 'premiere'),7
('', '', 'cause'),7
('', 'là', ''),7
('mv', '', ''),7
('', '', 'eftant'),7
('', 'combien', ''),7
('', 'foy', ''),7
('', 'my', ''),7
('foy', '', ''),7
('', 'air', ''),7
('', 'mr', ''),7
('', 'quand', ''),7
('', '', 'choses'),7
('mouvement', '', ''),7
('', 'infiny', ''),7
('', 'eternel', ''),6
('', '', 'nature'),6
('', '', 'forme'),6
('non', '', ''),6
('principe', '', ''),6
('', 'quelque', 'chose'),6
('', '', 'principe'),6
('', 'principe', ''),6
('', 'effe', ''),6
('', '', 'foit'),6
('', '', 'air'),6
('', '', 'quelle'),6
('', '', 'quand'),6
('', '', 'tres'),6
('eternel', '', ''),6
('', 'engendre', ''),6
('', 'cy', ''),6
('for', '', ''),6
('', '', 'mouvement'),6
('', '', 'faut'),6
('', 'fois', ''),6
('', '', 'quel'),6
('', 'metaux', ''),6
('', 'premier', ''),5
('entendre', '', ''),5
('phyfique', '', ''),5
('', 'dif', ''),5
('', 'pourquoy', 'non'),5
('pourquoy', 'non', ''),5
('raifon', '', ''),5
('', 'mef', ''),5
('', 'for', ''),5
('', 'lequel', ''),5
('', '', 'voulu'),5
('', 'vertu', ''),5
('', 'dieu', ''),5
('', 'bien', ''),5
('', 'empefche', ''),5
('encor', '', ''),5
('', 'ic', ''),5
('air', '', ''),5
('', '', 'th'),5
('cau', '', ''),5
('', '', 'ordre'),5
('', 'h', ''),5
('puiffance', '', ''),5
('', 'mx', ''),5
('', 'deuant', ''),5
('', 'toutesfois', ''),5
('', '', 'tre'),5
('bien', '', ''),5
('', 'elles', ''),5
('infiny', '', ''),5
('animaux', '', ''),5
('plantes', '', 'animaux'),5
('', '', 'toutesfois'),5
('', '', 'grand'),4
('', 'grand', ''),4
('definition', '', ''),4
('vi', '', ''),4
('', 'donc', ''),4
('cela', '', ''),4
('', 'fubie', ''),4
('donc', '', ''),4
('', '', 'aucune'),4
('', 'infinie', ''),4
('origine', '', ''),4
('', 'voulu', ''),4
('', 'homme', ''),4
('commencement', '', ''),4
('', 'con', ''),4
('', '', 'quelque'),4
('', '', 'où'),4
('', 'platon', ''),4
('', '', 'bien'),4
('', '', 'combien'),4
('', 'tre', ''),4
('fubie', '', ''),4
('my', '', ''),4
('', '', 'ja'),4
('', 'os', ''),4
('', '', 'accident'),4
('', 'accident', ''),4
('', 'contraire', ''),4
('th', '', ''),4
('rien', '', 'empefche'),4
('empefche', '', ''),4
('pource', '', ''),4
('quel', '', ''),4
('', 'tres', ''),4
('', '', 'ett'),4
('', '', 'doit'),4
('', 'forte', ''),4
('', '', 'cy'),4
('moins', '', ''),4
('fubftance', '', ''),4
('', '', 'certes'),4
('', 'z', ''),4
('tn', '', ''),4
('', 'ciel', ''),4
('mobile', '', ''),4
('', 'ble', ''),4
('', 'engendrées', ''),4
('', '', 'matiere'),4
('principes', '', ''),4
('', 'quel', ''),4
('', 'metaph', ''),4
