token_,count
trop grande,4
adressant parole,3
ordon nances,3
non poinct,3
aprés avoir,2
cy devant,2
roy dict,2
ceulx assistent,2
cest honneur,2
ordonnance roy,2
debvez faire,2
dict beaucoup,2
faire justice,2
voicy maison,2
plus tost,2
adverty ordonnance,2
présidens gens,2
gens roy,2
plus saiges,2
judger procez,2
royne conseil,2
aujourd huy,2
aussy aultres,2
vostre roy,2
comme plaist,2
veu registres,2
quand quand,2
bien faict,2
celuy faict,2
ceulx tholose,2
avoir servy,2
trois jours,2
dieu roy,2
si faictes,2
ar arr,1
arr ira,1
ira aras,1
aras are,1
are are,1
are art,1
art art,1
art ss,1
ss lit,1
lit justice,1
justice teneu,1
teneu roy,1
roy charles,1
charles ix,1
ix court,1
court lement,1
lement bourdeaulx,1
bourdeaulx avril,1
avril avant,1
avant pasques,1
pasques ensemble,1
ensemble harangue,1
harangue prononca,1
prononca chancelier,1
chancelier hospital,1
hospital sg,1
sg lz,1
lz icz,1
icz chancelier,1
chancelier aprés,1
avoir salué,1
salué roy,1
roy estre,1
estre mis,1
mis chaire,1
chaire dict,1
dict aulcungs,1
aulcungs cy,1
devant teneu,1
teneu lieu,1
lieu quil,1
quil tient,1
tient consommé,1
consommé leurs,1
leurs propoz,1
propoz loüer,1
loüer justice,1
justice institution,1
institution parlemens,1
parlemens autho,1
autho rité,1
rité iceulx,1
iceulx chose,1
chose loüable,1
loüable diroit,1
diroit sembleroit,1
sembleroit propre,1
propre convenable,1
convenable lieu,1
lieu grands,1
grands roys,1
roys successeurs,1
successeurs alexandre,1
alexandre scavoir,1
scavoir roy,1
roy épirotes,1
épirotes aultres,1
aultres grecs,1
grecs lesquelz,1
lesquelz guerre,1
guerre contre,1
contre estant,1
estant approchez,1
approchez prés,1
prés camp,1
camp romains,1
romains marchérent,1
marchérent bataille,1
bataille vie,1
vie veoir,1
veoir fins,1
fins montérent,1
montérent lieu,1
lieu éminent,1
éminent où,1
où veirent,1
veirent marcher,1
marcher lesdicts,1
lesdicts recueil,1
recueil divers,1
divers mémoires,1
mémoires harangues,1
harangues etc,1
etc publié,1
publié chez,1
chez pierre,1
pierre chevalier,1
chevalier paris,1
paris in,1
in page,1
page suivantes,1
suivantes manuscrit,1
manuscrit dupuy,1
dupuy bibliothéque,1
bibliothéque roi,1
roi harangues,1
harangues romains,1
romains si,1
si bon,1
bon équipaige,1
équipaige ordre,1
ordre dirent,1
dirent incontinent,1
incontinent voilà,1
voilà armée,1
armée marche,1
marche non,1
non barbare,1
barbare grecque,1
grecque paulus,1
paulus æmilius,1
æmilius aprés,1
avoir vaincu,1
vaincu cédoniens,1
cédoniens fist,1
fist grand,1
grand banquet,1
banquet lequel,1
lequel ordonna,1
ordonna feit,1
feit place,1
place milieu,1
milieu disoit,1
disoit mesme,1
mesme art,1
art ordonner,1
ordonner armée,1
armée comme,1
comme festin,1
festin pareille,1
pareille raison,1
raison icy,1
icy quelques,1
quelques estrangiers,1
estrangiers vissent,1
vissent cest,1
cest ordre,1
ordre diroient,1
diroient point,1
point court,1
court bar,1
bar bares,1
bares comme,1
comme estoient,1
estoient anciennement,1
anciennement pays,1
pays court,1
court françois,1
françois roys,1
roys prédécesseurs,1
prédécesseurs imitateurs,1
imitateurs romains,1
romains faict,1
faict meilleurs,1
meilleurs plusieurs,1
plusieurs leurs,1
leurs françois,1
françois faire,1
faire adressant,1
parole roy,1
dict sire,1
sire advient,1
advient ceste,1
ceste assistance,1
assistance quand,1
quand petit,1
petit approché,1
approché auprès,1
auprès grand,1
grand plus,1
plus rien,1
rien présence,1
présence honore,1
honore ceste,1
ceste compai,1
compai gnie,1
gnie quand,1
quand tenez,1
tenez graces,1
graces jour,1
jour vendredy,1
vendredy fois,1
fois an,1
an prédécesseurs,1
prédécesseurs accoustumé,1
accoustumé tenir,1
tenir tous,1
tous vendredys,1
vendredys aulcungs,1
aulcungs ceulx,1
assistent assiz,1
assiz aprés,1
aprés vacquez,1
vacquez faict,1
faict justice,1
justice honorez,1
honorez tous,1
tous ceulx,1
assistent excep,1
excep tant,1
tant royne,1
royne monsieur,1
monsieur assiz,1
assiz comme,1
comme princes,1
