token_,count
cin quiefme partie,1
partie charges ordinaires,1
den mout gras,1
temps louys douziefme,1
dit cy deffus,1
gras auec laine,1
francs pied cheual,1
fol ancié fin,1
faux monoyeur fait,1
fix vintz liures,1
foleil dix couronne,1
partie del once,1
foixante mil francz,1
cochon dix den,1
valoit cinq noftres,1
fix den hyuer,1
douze grains aloy,1
vingt trois caratz,1
quarante liures erain,1
ancié fin argent,1
onze deniers douze,1
monnoye erain pur,1
ay dit fera,1
deniers douze grains,1
vingt deux mois,1
