token_,count
tiers estat,52
dudit mois,11
roy nauarre,11
iour mefme,10
trois estats,9
ledit bodin,9
dudit moys,7
tous deputez,7
royne mere,6
roy feroit,6
quelques autres,6
autres estats,6
deux millions,6
bonne part,6
ledit sieur,6
trois ordres,5
ceiour mefme,5
dutiers estat,5
bodin deputé,5
deputé vermandois,5
cayer general,5
assemblee tiers,5
leurs cayers,5
quelques vns,5
quelques deputez,4
deputez trois,4
autres deputez,4
deux autres,4
lesdits deputez,4
religion catholique,4
clergé noblesse,4
aucuns deputez,4
president tiers,4
iour dudit,4
clerge noblesse,4
iour precedent,4
faire entendre,4
president hemard,4
iu ques,3
estat af,3
ville paris,3
ifle france,3
deputez bourgongne,3
dela part,3
fes fuiets,3
fuiets religion,3
dit bodin,3
feroit fupplie,3
là noblesse,3
pout faire,3
bp france,3
fit entendre,3
tiets estat,3
ledit seigneur,3
deputez autres,3
cefte fin,3
iour là,3
tiers etat,3
bodin depute,3
xv millions,3
feruice roy,3
ii estats,3
auoyent fait,3
deputez paris,3
fix mois,3
cela fait,3
assemblee estats,3
ledit roy,3
ceft effet,3
defdits cayers,3
certains deputez,3
alienatió domaine,3
dudit sieur,3
sieur marefchal,3
leurs maieftez,3
parle roy,2
roy fans,2
quel ques,2
esteu president,2
tiers ftat,2
deputez particuliers,2
deputez iufques,2
apres paris,2
femblable arreft,2
faite entendre,2
iour fuyuant,2
tous fes,2
religion ca,2
ledit bo,2
apres difner,2
fainétes voyes,2
article eligió,2
cha cun,2
deputé ermandois,2
fupplier roy,2
derriere deux,2
paffer outre,2
grand falle,2
frere roy,2
cofté feneftre,2
pairs france,2
douze bancs,2
leviers estat,2
roy fit,2
u roy,2
aw roy,2
re quefte,2
ar ticles,2
deux estats,2
cela cause,2
requis roy,2
deídites villes,2
fit refponce,2
mefme quelques,2
deputez roy,2
ladite religion,2
refponce roy,2
chambre comptes,2
bor deaux,2
plus ample,2
fuft enuoye,2
ii iour,2
vers prin,2
enuoyez roy,2
montmorin president,2
ledit tiers,2
dà roy,2
president tours,2
faire quelque,2
part roy,2
tours fit,2
fait finances,2
reglement gendarme,2
faire ladite,2
dudir mois,2
dela noblesse,2
arreft deniers,2
deniers tail,2
tail taillon,2
chacun gouuernement,2
affem blec,2
arche uefque,2
aucune chofe,2
deputez estats,2
enfuyuant apres,2
mefme releuce,2
apres ouy,2
fur ledit,2
auroit fait,2
religion catholiquero,2
estats ques,2
fit quelque,2
feroit delibere,2
delibere fur,2
putez estats,2
xxvi dudit,2
fait iour,2
ladite assemblee,2
be france,2
vnion religion,2
dernier iour,2
lc roy,2
prouinces auoyent,2
prendre bonne,2
comme elles,2
mefme releuee,2
dn roy,2
fai re,2
re olu,2
fer royaume,2
fuy uant,2
uant auis,2
troy xv,2
roy comme,2
ledit cayer,2
deputez chacun,2
royaume duquel,2
dieu mis,2
ans çà,2
estats auec,2
ele ion,2
da tiers,2
faire feruice,2
dits depurez,2
dits deputez,2
chacü ordre,2
estat faire,2
vou loir,2
faire aucune,2
là roy,2
rai ons,2
ville agen,2
ledit archeucfque,2
roy na,2
prises bonne,2
chefs premier,2
inte reft,2
plus grand,2
bien repos,2
propre vie,2
dieu mefsieurs,2
humble feruice,2
peu iours,2
roy repos,2
affe ion,2
mois trois,2
vers roy,2
deputez tiers,2
roy touchant,2
cayers auoyent,2
heure apres,2
apres midy,2
iuf ques,2
leurs prouinces,2
cayers faire,2
rapport fait,2
fait ledit,2
president hemart,2
decifió defdits,2
deuoir comme,2
consentir alienatió,2
neant moins,2
cler ge,2
fes officiers,2
tout peut,2
roy pins,2
peu ple,2
domaine roy,2
sieur bellieure,2
dece royaume,2
mare chal,2
sieurs depu,2
deuoir vray,2
feurier mil,2
mil cinq,2
affc ion,2
dieu face,2
faire fans,2
pou uoyent,2
france paix,2
eglife catholique,2
st tir,1
tir recueil,1
recueil tout,1
tout negotié,1
negotié copa,1
copa tiers,1
estat france,1
france enl,1
enl femblee,1
femblee generale,1
generale trois,1
estats affignez,1
affignez parle,1
roy lle,1
lle bloys,1
bloys an,1
an xv,1
xv onermbré,1
onermbré md,1
md lxxuj,1
lxxuj roy,1
roy fic,1
fic entree,1
entree dad,1
dad royne,1
royne peu,1
peu apres,1
apres ue,1
ue royne,1
mere estoit,1
estoit ia,1
ia arri,1
arri ucelciour,1
ucelciour precedenr,1
precedenr dautant,1
dautant yauoitencore,1
yauoitencore bien,1
bien peu,1
peu deputez,1
deputez ar,1
ar riucz,1
riucz grand,1
grand alle,1
alle estats,1
estats paracheuec,1
paracheuec eutaticune,1
eutaticune prefentation,1
prefentation iu,1
ques xx,1
xx erifuigant,1
erifuigant lexxii,1
lexxii roy,1
roy ordona,1
ordona quil,1
quil donne,1
donne roit,1
roit audience,1
audience apres,1
apres fondifner,1
fondifner lun,1
lun di,1
di mercredy,1
mercredy vendredy,1
vendredy oü,1
oü h,1
h xxiii,1
xxiii quelques,1
ordres prefenterent,1
prefenterent roy,1
fans ftre,1
ftre appeilezsluy,1
appeilezsluy faifanceniédre,1
faifanceniédre eftoyent,1
eftoyent venus,1
venus tel,1
tel tel,1
tel pays,1
pays fui,1
fui vant,1
vant ón,1
ón mandement,1
mandement prefen,1
prefen ter,1
ter réqueftes,1
réqueftes dolcances,1
dolcances acra,1
acra ij,1
ij é,1
é xviii,1
xviii lour,1
lour nouembre,1
nouembre mà,1
mà àü,1
àü tats,1
tats estar,1
estar dor,1
dor suiuant,1
suiuant cry,1
cry ordres,1
ordres affeme,1
affeme blerent,1
blerent dits,1
dits lieux,1
lieux salle,1
salle tiers,1
estat deputez,1
deputez chacune,1
chacune prouince,1
prouince appellez,1
appellez faiuantl,1
faiuantl ot,1
ot drè,1
drè ténu,1
ténu orleans,1
orleans feprefenterent,1
feprefenterent quis,1
quis trouuetent,1
trouuetent furét,1
furét leurs,1
leurs tios,1
tios efcrits,1
efcrits iour,1
mefme atchenef,1
atchenef ambrun,1
ambrun accompagné,1
accompagné quel,1
ques vns,1
vns ón,1
ón ordte,1
ordte allavifiter,1
allavifiter noblesse,1
noblesse tiers,1
estat faisant,1
faisant honneftes,1
honneftes feronftrances,1
feronftrances vair,1
vair mefiné,1
mefiné volonté,1
volonté preuoft,1
preuoft tnarchás,1
tnarchás patis,1
patis comme,1
comme premier,1
premier députe,1
députe remertia,1
remertia lvn,1
lvn depu,1
depu téz,1
téz bréraigne,1
bréraigne eruit,1
eruit greffier,1
greffier iuf,1
iuf quesá,1
quesá euft,1
euft esteu,1
president greffier,1
greffier met,1
met db,1
db due,1
due fl,1
fl franc,1
franc ceiour,1
mefme quelque,1
quelque diffe,1
diffe tent,1
tent entre,1
entre deputéz,1
deputéz ttois,1
ttois ordres,1
ordres vour,1
vour estats,1
estats boufgongne,1
boufgongne deputez,1
deputez chacü,1
chacü bailliage,1
bailliage ray,1
ray qué,1
qué deputez,1
deputez gencraux,1
gencraux tiers,1
ftat bourgongnen,1
bourgongnen vindrét,1
vindrét point,1
point céluyde,1
céluyde noblesse,1
noblesse sé,1
sé departit,1
departit celoy,1
celoy eglise,1
eglise accorda,1
accorda auec,1
auec deputez,1
particuliers fean,1
fean cé,1
cé bort,1
bort iny,1
iny fembloiti,1
fembloiti ans,1
ans voix,1
voix iu,1
iu lexxvi,1
lexxvi xxvii,1
xxvii tiers,1
af sembla,1
sembla plafienrs,1
plafienrs dióyent,1
dióyent ete,1
ete abfens,1
abfens prefenterent,1
prefenterent president,1
president esteu,1
esteu prenoft,1
prenoft mar,1
mar chansy,1
chansy president,1
president cômpres,1
cômpres depui,1
depui té,1
té auec,1
auec efchenin,1
efchenin verforisaduoc,1
verforisaduoc cat,1
cat ville,1
paris tous,1
tous trois,1
trois tie,1
tie faifoyént,1
faifoyént voix,1
voix gref,1
gref fiet,1
fiet facéfleu,1
facéfleu pictre,1
pictre bénlenger,1
bénlenger depute,1
depute bréraigne,1
bréraigne pout,1
pout affeffeurs,1
affeffeurs roya,1
roya er,1
er ounilliet,1
ounilliet depitez,1
depitez bourgoria,1
bourgoria goe,1
goe declermón,1
declermón estats,1
estats roy,1
roy feroyé,1
feroyé regler,1
regler dedanstrois,1
dedanstrois jours,1
jours cependant,1
cependant opineroit,1
opineroit fopnermen,1
fopnermen auffi,1
auffi ordôné,1
ordôné deputez,1
deputez chafcun,1
chafcun gouuerne,1
gouuerne mét,1
mét affembleroyent,1
affembleroyent logis,1
logis deputez,1
deputez felo,1
felo comodité,1
comodité verifier,1
verifier leurs,1
leurs pouuoirs,1
pouuoirs accorder,1
accorder leurs,1
leurs cayets,1
cayets iour,1
mefme depu,1
depu té,1
té president,1
president dutiers,1
estat auccquel,1
auccquel ues,1
ues autres,1
iufques nôbre,1
nôbre fix,1
fix vifiter,1
vifiter eglife,1
eglife remer,1
remer cier,1
cier bon,1
bon office,1
office quelle,1
quelle fair,1
fair endroit,1
endroit tiers,1
estat vendredy,1
vendredy xxx,1
xxx faiéte,1
faiéte procef,1
procef fion,1
fion generale,1
generale egli,1
egli sain,1
sain sau,1
sau ueur,1
ueur où,1
où roy,1
roy roynes,1
roynes aflifte,1
aflifte pent,1
pent decembre,1
decembre premier,1
premier iourdé,1
iourdé decembre,1
decembre rande,1
rande altercation,1
altercation entre,1
entre deputex,1
deputex el,1
el ifle,1
france deputez,1
bourgongne fur,1
fur bodin,1
vermandois premier,1
premier apres,1
apres deputez,1
deputez laville,1
laville preuofté,1
preuofté wviconte,1
wviconte paris,1
paris difoit,1
difoit deuoit,1
deuoit ean,1
ean apres,1
paris deputez,1
deputez desenlis,1
desenlis valois,1
valois mante,1
mante clermont,1
clermont melun,1
melun dreux,1
dreux autres,1
deputez lle,1
lle france,1
france vouloyent,1
vouloyent fean,1
fean france,1
france apresle,1
apresle deputé,1
vermandois deputez,1
bourgongne bretaigne,1
bretaigne empefcherent,1
empefcherent deputez,1
deputez ifle,1
france fondoyent,1
fondoyent neceffairé,1
neceffairé apres,1
paris opiher,1
opiher tous,1
tous enfemble,1
enfemble gouuetnement,1
gouuetnement ifle,1
france cg,1
cg libauoit,1
libauoit efte,1
efte arrefté,1
arrefté opine,1
opine roirpargouuernement,1
roirpargouuernement bour,1
bour ngne,1
ngne difoyentqué,1
difoyentqué ftats,1
ftats fous,1
fous orleans,1
orleans auoyent,1
auoyent ed,1
ed ccapresceux,1
ccapresceux deparis,1
deparis afaire,1
afaire ren,1
ren noyé,1
noyé roy,1
roy ordonner,1
ordonner quel,1
quel mefine,1
mefine different,1
different entre,1
entre no,1
