token_,count
president tiers estat,4
iour dudit mois,4
tiers estat af,3
roy feroit fupplie,3
deputez trois ordres,2
bodin deputé vermandois,2
fes fuiets religion,2
assemblee tiers estat,2
ledit tiers estat,2
arrest deniers tail,2
deniers tail taillon,2
prendre bonne part,2
fuy uant avis,2
troy xv millions,2
ledit bodin deputé,2
prises bonne part,2
feruice roy repos,2
dudit mois trois,2
deputez autres estats,2
deputez trois estats,2
heure apres midy,2
decifió defdits cayers,2
consentir alienatió domaine,2
feurier mil cinq,2
ledit sieur marefchal,2
st tir recueil,1
tir recueil tout,1
recueil tout negotié,1
tout negotié copa,1
negotié copa tiers,1
copa tiers estat,1
tiers estat france,1
estat france enl,1
france enl femblee,1
enl femblee generale,1
femblee generale trois,1
generale trois estats,1
trois estats affignez,1
estats affignez parle,1
affignez parle roy,1
parle roy lle,1
roy lle bloys,1
lle bloys an,1
bloys an xv,1
an xv onermbré,1
xv onermbré md,1
onermbré md lxxuj,1
md lxxuj roy,1
lxxuj roy fic,1
roy fic entree,1
fic entree dad,1
entree dad royne,1
dad royne peu,1
royne peu apres,1
peu apres ue,1
apres ue royne,1
ue royne mere,1
royne mere estoit,1
mere estoit ia,1
estoit ia arri,1
ia arri ucelciour,1
arri ucelciour precedenr,1
ucelciour precedenr dautant,1
precedenr dautant yauoitencore,1
dautant yauoitencore bien,1
yauoitencore bien peu,1
bien peu deputez,1
peu deputez ar,1
deputez ar riucz,1
ar riucz grand,1
riucz grand alle,1
grand alle estats,1
alle estats paracheuec,1
estats paracheuec eutaticune,1
paracheuec eutaticune prefentation,1
eutaticune prefentation iu,1
prefentation iu ques,1
iu ques xx,1
ques xx erifuigant,1
xx erifuigant lexxii,1
erifuigant lexxii roy,1
lexxii roy ordona,1
roy ordona quil,1
ordona quil donne,1
quil donne roit,1
donne roit audience,1
roit audience apres,1
audience apres fondifner,1
apres fondifner lun,1
fondifner lun di,1
lun di mercredy,1
di mercredy vendredy,1
mercredy vendredy oü,1
vendredy oü h,1
oü h xxiii,1
h xxiii quelques,1
xxiii quelques deputez,1
quelques deputez trois,1
trois ordres prefenterent,1
ordres prefenterent roy,1
prefenterent roy fans,1
roy fans ftre,1
fans ftre appeilezsluy,1
ftre appeilezsluy faifanceniédre,1
appeilezsluy faifanceniédre eftoyent,1
faifanceniédre eftoyent venus,1
eftoyent venus tel,1
venus tel tel,1
tel tel pays,1
tel pays fui,1
pays fui vant,1
fui vant ón,1
vant ón mandement,1
ón mandement prefen,1
mandement prefen ter,1
prefen ter réqueftes,1
ter réqueftes dolcances,1
réqueftes dolcances acra,1
dolcances acra ij,1
acra ij é,1
ij é xviii,1
é xviii lour,1
xviii lour nouembre,1
lour nouembre mà,1
nouembre mà àü,1
mà àü tats,1
àü tats estar,1
tats estar dor,1
estar dor suiuant,1
dor suiuant cry,1
suiuant cry ordres,1
cry ordres affeme,1
ordres affeme blerent,1
affeme blerent dits,1
blerent dits lieux,1
dits lieux salle,1
lieux salle tiers,1
salle tiers estat,1
tiers estat deputez,1
estat deputez chacune,1
deputez chacune prouince,1
chacune prouince appellez,1
prouince appellez faiuantl,1
appellez faiuantl ot,1
faiuantl ot drè,1
ot drè ténu,1
drè ténu orleans,1
ténu orleans feprefenterent,1
orleans feprefenterent quis,1
feprefenterent quis trouuetent,1
quis trouuetent furét,1
trouuetent furét leurs,1
furét leurs tios,1
leurs tios efcrits,1
tios efcrits iour,1
efcrits iour mesme,1
iour mesme atchenef,1
mesme atchenef ambrun,1
atchenef ambrun accompagné,1
ambrun accompagné quel,1
accompagné quel ques,1
quel ques vns,1
ques vns ón,1
vns ón ordte,1
ón ordte allavifiter,1
ordte allavifiter noblesse,1
allavifiter noblesse tiers,1
noblesse tiers estat,1
tiers estat faisant,1
estat faisant honneftes,1
faisant honneftes feronftrances,1
honneftes feronftrances vair,1
feronftrances vair mefiné,1
vair mefiné volonté,1
mefiné volonté preuoft,1
volonté preuoft tnarchás,1
preuoft tnarchás patis,1
tnarchás patis comme,1
patis comme premier,1
comme premier députe,1
premier députe remertia,1
députe remertia lvn,1
remertia lvn depu,1
lvn depu téz,1
depu téz bréraigne,1
téz bréraigne eruit,1
bréraigne eruit greffier,1
eruit greffier iuf,1
greffier iuf quesá,1
iuf quesá euft,1
quesá euft esteu,1
euft esteu president,1
esteu president greffier,1
president greffier met,1
greffier met db,1
met db due,1
db due fl,1
due fl franc,1
fl franc ceiour,1
franc ceiour mesme,1
ceiour mesme quelque,1
mesme quelque diffe,1
quelque diffe tent,1
diffe tent entre,1
tent entre deputéz,1
entre deputéz ttois,1
deputéz ttois ordres,1
ttois ordres vour,1
ordres vour estats,1
vour estats boufgongne,1
estats boufgongne deputez,1
boufgongne deputez chacü,1
deputez chacü bailliage,1
chacü bailliage ray,1
bailliage ray qué,1
ray qué deputez,1
qué deputez gencraux,1
deputez gencraux tiers,1
gencraux tiers ftat,1
tiers ftat bourgongnen,1
ftat bourgongnen vindrét,1
bourgongnen vindrét point,1
vindrét point céluyde,1
point céluyde noblesse,1
céluyde noblesse sé,1
noblesse sé departit,1
sé departit celoy,1
departit celoy eglise,1
celoy eglise accorda,1
eglise accorda auec,1
accorda auec deputez,1
auec deputez particuliers,1
deputez particuliers fean,1
particuliers fean cé,1
fean cé bort,1
cé bort iny,1
bort iny fembloiti,1
iny fembloiti ans,1
fembloiti ans voix,1
ans voix iu,1
voix iu lexxvi,1
iu lexxvi xxvii,1
lexxvi xxvii tiers,1
xxvii tiers estat,1
estat af sembla,1
af sembla plafienrs,1
sembla plafienrs dióyent,1
plafienrs dióyent ete,1
dióyent ete abfens,1
ete abfens prefenterent,1
abfens prefenterent president,1
prefenterent president esteu,1
president esteu prenoft,1
esteu prenoft mar,1
prenoft mar chansy,1
mar chansy president,1
chansy president cômpres,1
president cômpres depui,1
cômpres depui té,1
depui té auec,1
té auec efchenin,1
auec efchenin verforisaduoc,1
efchenin verforisaduoc cat,1
verforisaduoc cat ville,1
cat ville paris,1
ville paris tous,1
paris tous trois,1
tous trois tie,1
trois tie faifoyént,1
tie faifoyént voix,1
faifoyént voix gref,1
voix gref fiet,1
gref fiet facéfleu,1
fiet facéfleu pictre,1
facéfleu pictre bénlenger,1
pictre bénlenger depute,1
bénlenger depute bréraigne,1
depute bréraigne pout,1
bréraigne pout affeffeurs,1
pout affeffeurs roya,1
affeffeurs roya er,1
roya er ounilliet,1
er ounilliet depitez,1
ounilliet depitez bourgoria,1
depitez bourgoria goe,1
bourgoria goe declermón,1
goe declermón estats,1
declermón estats roy,1
estats roy feroyé,1
roy feroyé regler,1
feroyé regler dedanstrois,1
regler dedanstrois jours,1
dedanstrois jours cependant,1
jours cependant opineroit,1
cependant opineroit fopnermen,1
opineroit fopnermen auffi,1
fopnermen auffi ordôné,1
auffi ordôné deputez,1
ordôné deputez chafcun,1
deputez chafcun gouuerne,1
chafcun gouuerne mét,1
gouuerne mét affembleroyent,1
mét affembleroyent logis,1
affembleroyent logis deputez,1
logis deputez felo,1
deputez felo comodité,1
felo comodité verifier,1
comodité verifier leurs,1
verifier leurs pouuoirs,1
leurs pouuoirs accorder,1
pouuoirs accorder leurs,1
accorder leurs cayets,1
leurs cayets iour,1
cayets iour mesme,1
iour mesme depu,1
mesme depu té,1
depu té president,1
té president dutiers,1
president dutiers estat,1
dutiers estat auccquel,1
estat auccquel ues,1
auccquel ues autres,1
ues autres deputez,1
autres deputez iufques,1
deputez iufques nôbre,1
iufques nôbre fix,1
nôbre fix vifiter,1
fix vifiter eglife,1
vifiter eglife remer,1
eglife remer cier,1
remer cier bon,1
cier bon office,1
bon office quelle,1
office quelle fair,1
quelle fair endroit,1
fair endroit tiers,1
endroit tiers estat,1
tiers estat vendredy,1
estat vendredy xxx,1
vendredy xxx faiéte,1
xxx faiéte procef,1
faiéte procef fion,1
procef fion generale,1
fion generale egli,1
generale egli sain,1
egli sain sau,1
sain sau ueur,1
sau ueur où,1
ueur où roy,1
où roy roynes,1
roy roynes aflifte,1
roynes aflifte pent,1
aflifte pent decembre,1
pent decembre premier,1
decembre premier iourdé,1
premier iourdé decembre,1
iourdé decembre rande,1
decembre rande altercation,1
rande altercation entre,1
altercation entre deputex,1
entre deputex el,1
deputex el ifle,1
el ifle france,1
ifle france deputez,1
france deputez bourgongne,1
deputez bourgongne fur,1
bourgongne fur bodin,1
fur bodin deputé,1
deputé vermandois premier,1
vermandois premier apres,1
premier apres deputez,1
apres deputez laville,1
